,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Stockholm,59.333332999999996,18.05,Sweden,SE,Stockholm,primary,1264000.0,1253309.0
1,Glöstorp,57.75,11.933333,Sweden,SE,Västra Götaland,,537797.0,504084.0
2,Malmö,55.6,13.0,Sweden,SE,Skåne,admin,269349.0,261548.0
3,Uppsala,59.85,17.633333,Sweden,SE,Uppsala,admin,133117.0,127734.0
4,Västerås,59.61666700000001,16.55,Sweden,SE,Västmanland,admin,107194.0,93179.0
5,Örebro,59.283333,15.216667000000001,Sweden,SE,Örebro,admin,98573.0,93291.0
6,Linköping,58.416667000000004,15.616667000000001,Sweden,SE,Östergötland,admin,96732.0,91491.0
7,Helsingborg,56.05,12.7,Sweden,SE,Skåne,minor,91304.0,91025.0
8,Jönköping,57.783333,14.183333,Sweden,SE,Jönköping,admin,89780.0,83202.0
9,Norrköping,58.6,16.183332999999998,Sweden,SE,Östergötland,minor,88639.0,82903.0
10,Umeå,63.833332999999996,20.25,Sweden,SE,Västerbotten,admin,78197.0,74005.0
11,Bärstad,59.333332999999996,13.55,Sweden,SE,Värmland,,74141.0,59266.0
12,Tunadal,62.414167000000006,17.379444,Sweden,SE,Västernorrland,,73389.0,48463.0
13,Gävle,60.666667000000004,17.166667,Sweden,SE,Gävleborg,admin,68635.0,67836.0
14,Borås,57.716667,12.916667,Sweden,SE,Västra Götaland,minor,65008.0,63223.0
15,Växjö,56.88333299999999,14.816667,Sweden,SE,Kronoberg,admin,59600.0,46535.0
16,Halmstad,56.671389000000005,12.855556,Sweden,SE,Halland,admin,55657.0,55209.0
17,Luleå,65.583333,22.15,Sweden,SE,Norrbotten,admin,48638.0,45551.0
18,Östersund,63.183333,14.65,Sweden,SE,Jämtland,admin,46178.0,42940.0
19,Trollhättan,58.266667000000005,12.3,Sweden,SE,Västra Götaland,minor,44543.0,44522.0
20,Borlänge,60.483332999999995,15.416667000000002,Sweden,SE,Dalarna,minor,39422.0,38527.0
21,Falun,60.6,15.633332999999999,Sweden,SE,Dalarna,admin,36477.0,36477.0
22,Kalmar,56.666667000000004,16.366667,Sweden,SE,Kalmar,admin,35024.0,34744.0
23,Kristianstad,56.033333,14.133332999999999,Sweden,SE,Skåne,minor,32188.0,21339.0
24,Skellefteå,64.766667,20.95,Sweden,SE,Västerbotten,minor,31311.0,30839.0
25,Örnsköldsvik,63.3,18.716667,Sweden,SE,Västernorrland,minor,27749.0,25063.0
26,Nyköping,58.75,17.0,Sweden,SE,Södermanland,admin,27582.0,27582.0
27,Visby,57.639617,18.298582,Sweden,SE,Gotland,admin,22593.0,21970.0
28,Vänersborg,58.36666700000001,12.316667,Sweden,SE,Västra Götaland,minor,21835.0,21835.0
29,Kirunavaara,67.81666700000001,20.2,Sweden,SE,Norrbotten,,18154.0,8450.0
30,Fröland,62.61666700000001,17.883333,Sweden,SE,Västernorrland,,17016.0,17016.0
31,Mariestad,58.7,13.816667,Sweden,SE,Västra Götaland,minor,14891.0,14891.0
32,Bollnäs,61.35,16.366667,Sweden,SE,Gävleborg,minor,13398.0,12145.0
