,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Ljubljana,46.055278,14.514444000000001,Slovenia,SI,Ljubljana,primary,314807.0,255115.0
1,Maribor,46.554722,15.646667,Slovenia,SI,Maribor,admin,114228.0,89056.0
2,Šentjernej,45.84,15.336110999999999,Slovenia,SI,Šentjernej,admin,,
3,Šentjur,46.217222,15.3975,Slovenia,SI,Šentjur,admin,,
4,Poljčane,46.311944,15.579167000000002,Slovenia,SI,Poljčane,admin,,
5,Podvelka,46.586944,15.330556,Slovenia,SI,Podvelka,admin,,
6,Šentrupert,45.977778,15.095556,Slovenia,SI,Šentrupert,admin,,
7,Medvode,46.133333,14.433333,Slovenia,SI,Medvode,admin,,
8,Radovljica,46.344444,14.174444,Slovenia,SI,Radovljica,admin,,
9,Sveta Trojica v Slovenskih Goricah,46.576667,15.876944,Slovenia,SI,Sveta Trojica v Slovenskih Goricah,admin,,
10,Zgornje Gorje,46.383333,14.083332999999998,Slovenia,SI,Gorje,admin,,
11,Zgornje Jezersko,46.383333,14.466667000000001,Slovenia,SI,Jezersko,admin,,
12,Sveta Ana v Slovenskih Goricah,46.649167,15.844167,Slovenia,SI,Sveta Ana,admin,,
13,Miklavž na Dravskem Polju,46.505833,15.697222,Slovenia,SI,Miklavž na Dravskem Polju,admin,,
14,Križevci pri Ljutomeru,46.568333,16.138610999999997,Slovenia,SI,Križevci,admin,,
15,Gornji Petrovci,46.805278,16.2225,Slovenia,SI,Gornji Petrovci,admin,,
16,Podčetrtek,46.156944,15.598610999999998,Slovenia,SI,Podčetrtek,admin,,
17,Radeče,46.068056,15.183889,Slovenia,SI,Radeče,admin,,
18,Ankaran,45.578610999999995,13.736111,Slovenia,SI,Ankaran,admin,,
19,Laško,46.151944,15.236389,Slovenia,SI,Laško,admin,,
20,Dobrna,46.3375,15.226389000000001,Slovenia,SI,Dobrna,admin,,
21,Kostanjevica na Krki,45.846111,15.422222,Slovenia,SI,Kostanjevica na Krki,admin,,
22,Trbovlje,46.155,15.053332999999999,Slovenia,SI,Trbovlje,admin,,
23,Gorenja Vas,46.107222,14.148056,Slovenia,SI,Gorenja Vas-Poljane,admin,,
24,Polzela,46.283333,15.066667,Slovenia,SI,Polzela,admin,,
25,Zavrč,46.391667,16.049722,Slovenia,SI,Zavrč,admin,,
26,Brezovica,46.033333,14.4,Slovenia,SI,Brezovica,admin,,
27,Šoštanj,46.38,15.048611,Slovenia,SI,Šoštanj,admin,,
28,Cankova,46.720833,16.0225,Slovenia,SI,Cankova,admin,,
29,Ajdovščina,45.8875,13.911110999999998,Slovenia,SI,Ajdovščina,admin,,
30,Volčja Draga,45.906944,13.6775,Slovenia,SI,Renče-Vogrsko,admin,,
31,Borovnica,45.915833,14.363056,Slovenia,SI,Borovnica,admin,,
32,Velenje,46.359167,15.110278,Slovenia,SI,Velenje,admin,,
33,Spodnja Hajdina,46.408889,15.846944,Slovenia,SI,Hajdina,admin,,
34,Mirna,45.955278,15.061944,Slovenia,SI,Mirna,admin,,
35,Mirna Peč,45.860278,15.083332999999998,Slovenia,SI,Mirna Peč,admin,,
36,Vitanje,46.381667,15.295832999999998,Slovenia,SI,Vitanje,admin,,
37,Markovci,46.383333,15.95,Slovenia,SI,Markovci,admin,,
38,Straža,45.78,15.072778,Slovenia,SI,Straža,admin,,
39,Metlika,45.647222,15.314167000000001,Slovenia,SI,Metlika,admin,,
40,Domžale,46.138056,14.597778,Slovenia,SI,Domžale,admin,,
41,Naklo,46.272778,14.317222000000001,Slovenia,SI,Naklo,admin,,
42,Sodražica,45.761111,14.635556,Slovenia,SI,Sodražica,admin,,
43,Pivka,45.679444000000004,14.196667000000001,Slovenia,SI,Pivka,admin,,
44,Solčava,46.419444,14.693610999999999,Slovenia,SI,Solčava,admin,,
45,Selnica ob Dravi,46.55,15.495,Slovenia,SI,Selnica ob Dravi,admin,,
46,Braslovče,46.289722,15.038889000000001,Slovenia,SI,Braslovče,admin,,
47,Dobrova,46.055,14.417222,Slovenia,SI,Dobrova-Polhov Gradec,admin,,
48,Lukovica pri Domžalah,46.166667,14.7,Slovenia,SI,Lukovica,admin,,
49,Vipava,45.846667,13.963056,Slovenia,SI,Vipava,admin,,
50,Benedikt v Slovenskih Goricah,46.608610999999996,15.888333,Slovenia,SI,Benedikt,admin,,
51,Celje,46.236111,15.2675,Slovenia,SI,Celje,admin,,
52,Radenci,46.647222,16.044167,Slovenia,SI,Radenci,admin,,
53,Mokronog,45.934166999999995,15.140832999999999,Slovenia,SI,Mokronog-Trebelno,admin,,
54,Železniki,46.233333,14.166667000000002,Slovenia,SI,Železniki,admin,,
55,Mežica,46.521389,14.854444,Slovenia,SI,Mežica,admin,,
56,Ormož,46.411389,16.154444,Slovenia,SI,Ormož,admin,,
57,Šalovci,46.825,16.298056,Slovenia,SI,Šalovci,admin,,
58,Brežice,45.903333,15.591110999999998,Slovenia,SI,Brežice,admin,,
59,Zgornja Kungota,46.639167,15.615556,Slovenia,SI,Kungota,admin,,
60,Gornji Grad,46.295278,14.808333,Slovenia,SI,Gornji Grad,admin,,
61,Videm,45.85,14.694167000000002,Slovenia,SI,Dobrepolje,admin,,
62,Bovec,46.3375,13.552778,Slovenia,SI,Bovec,admin,,
63,Vodice,46.2,14.5,Slovenia,SI,Vodice,admin,,
64,Odranci,46.586667,16.280278,Slovenia,SI,Odranci,admin,,
65,Dol pri Ljubljani,46.088611,14.600832999999998,Slovenia,SI,Dol pri Ljubljani,admin,,
66,Lovrenc na Pohorju,46.540556,15.393056,Slovenia,SI,Lovrenc na Pohorju,admin,,
67,Kobilje,46.684722,16.397778,Slovenia,SI,Kobilje,admin,,
