,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Bratislava,48.15,17.116667,Slovakia,SK,Bratislavský,primary,423737.0,373687.0
1,Košice,48.713946,21.258084,Slovakia,SK,Košický,admin,236563.0,184070.0
2,Prešov,48.998394,21.233934,Slovakia,SK,Prešovský,admin,94718.0,76019.0
3,Žilina,49.216667,18.733333,Slovakia,SK,Žilinský,admin,87625.0,85985.0
4,Banská Bystrica,48.739464,19.153489,Slovakia,SK,Banskobystrický,admin,82336.0,79232.0
5,Trnava,48.377404999999996,17.587226,Slovakia,SK,Trnavský,admin,69785.0,52053.0
6,Zvolen,48.57442,19.153236,Slovakia,SK,Banskobystrický,minor,44502.0,32051.0
7,Vranov nad Topľou,48.888356,21.684794,Slovakia,SK,Prešovský,minor,,
8,Bánovce nad Bebravou,48.7213,18.257539,Slovakia,SK,Nitriansky,minor,,
9,Bytča,49.224045000000004,18.558779,Slovakia,SK,Žilinský,minor,,
10,Trebišov,48.628578999999995,21.719535,Slovakia,SK,Košický,minor,,
11,Komárno,48.116667,18.316667000000002,Slovakia,SK,Nitriansky,minor,,
12,Trenčín,48.886715,18.047991,Slovakia,SK,Trenčiansky,admin,,
13,Ružomberok,49.074797,19.307509,Slovakia,SK,Žilinský,minor,,
14,Zlaté Moravce,48.385528,18.40063,Slovakia,SK,Nitriansky,minor,,
15,Gelnica,48.855843,20.937125,Slovakia,SK,Košický,minor,,
16,Čadca,49.435031,18.788947,Slovakia,SK,Žilinský,minor,,
17,Michalovce,48.754336,21.919495,Slovakia,SK,Košický,minor,,
18,Snina,48.988566,22.150987,Slovakia,SK,Prešovský,minor,,
19,Tvrdošín,49.337004,19.555999,Slovakia,SK,Žilinský,minor,,
20,Banská Štiavnica,48.44858,18.910028,Slovakia,SK,Banskobystrický,minor,,
21,Brezno,48.804308,19.636313,Slovakia,SK,Banskobystrický,minor,,
22,Sobrance,48.74455,22.181364000000002,Slovakia,SK,Košický,minor,,
