,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Aleppo,36.201240999999996,37.161173,Syria,SY,Ḩalab,admin,2738000.0,1602264.0
1,Damascus,33.512529,36.278016,Syria,SY,Dimashq,primary,2466000.0,2466000.0
2,Homs,34.726818,36.723391,Syria,SY,Ḩimş,admin,1005000.0,775404.0
3,Al Kuraydīyah,35.568521999999994,35.747115,Syria,SY,Al Lādhiqīyah,,539147.0,340181.0
4,Dūmā,33.571746999999995,36.402701,Syria,SY,Rīf Dimashq,minor,496145.0,317679.0
5,Ḩamāh,35.13179,36.757834,Syria,SY,Ḩamāh,admin,460602.0,418990.0
6,Dayr az Zawr,35.333890000000004,40.141813,Syria,SY,Dayr az Zawr,admin,309141.0,242565.0
7,Ar Raqqah,35.952829,39.007878999999996,Syria,SY,Ar Raqqah,admin,177636.0,173565.0
8,Ţarţūs,34.889022,35.886586,Syria,SY,Ţarţūs,admin,162980.0,115769.0
9,Dar‘ā,32.618889,36.102134,Syria,SY,Dar‘ā,admin,146481.0,97969.0
10,Idlib,35.930616,36.63393,Syria,SY,Idlib,admin,128840.0,102731.0
11,Al Ḩasakah,36.502368,40.747716,Syria,SY,Al Ḩasakah,admin,128100.0,81539.0
12,Manbij,36.528153,37.954954,Syria,SY,Ḩalab,minor,120169.0,68888.0
13,Al Qāmishlī,37.052152,41.231421999999995,Syria,SY,Al Ḩasakah,minor,104107.0,104107.0
14,Ath Thawrah,35.834527,38.546588,Syria,SY,Ar Raqqah,minor,87880.0,83300.0
15,Ālbū Kamāl,34.452261,40.918544,Syria,SY,Dayr az Zawr,minor,80808.0,57572.0
16,As Suwaydā’,32.708958,36.569513,Syria,SY,As Suwaydā’,admin,72248.0,59052.0
17,Tadmur,34.562399,38.284023,Syria,SY,Ḩimş,minor,55111.0,51015.0
18,An Nabk,34.024027000000004,36.728483000000004,Syria,SY,Rīf Dimashq,minor,50178.0,49372.0
19,I‘zāz,36.586624,37.046276,Syria,SY,Ḩalab,minor,31534.0,31534.0
20,Al Qunayţirah,33.125945,35.824613,Syria,SY,Al Qunayţirah,admin,4318.0,153.0
21,Al Ḩāḑir,35.990241999999995,37.050863,Syria,SY,Ḩalab,minor,,
22,Mas‘adah,33.232026,35.755722999999996,Syria,SY,Al Qunayţirah,minor,,
23,Kafr Nubl,35.613763,36.564488,Syria,SY,Idlib,minor,,
24,Jubb Ramlah,35.209224,36.431034999999994,Syria,SY,Ḩamāh,minor,,
25,Al Mayādīn,35.019819,40.451538,Syria,SY,Dayr az Zawr,minor,,
26,Jubb al Jarrāḩ,34.834441,37.323962,Syria,SY,Ḩimş,minor,,
27,Ash Shaddādah,36.057565000000004,40.734784000000005,Syria,SY,Al Ḩasakah,minor,,
28,Khirbat Tīn Nūr,34.70122,36.556585,Syria,SY,Ḩimş,minor,,
29,Şlinfah,35.598217,36.187697,Syria,SY,Al Lādhiqīyah,minor,,
30,Ḩarastā,33.558692,36.365153,Syria,SY,Rīf Dimashq,minor,,
31,Al Atārib,36.138946000000004,36.824989,Syria,SY,Ḩalab,minor,,
32,Ḩimmīn,34.900355,36.040102000000005,Syria,SY,Ţarţūs,minor,,
33,Bāniyās,35.181881,35.948709,Syria,SY,Ţarţūs,minor,,
34,Brummānat al Mashāyikh,35.018834000000005,36.170833,Syria,SY,Ţarţūs,minor,,
35,‘Āmūdā,37.104167,40.93,Syria,SY,Al Ḩasakah,minor,,
36,Al Buşayrah,35.156181,40.427163,Syria,SY,Dayr az Zawr,minor,,
37,Ad Dīmās,33.587393,36.092624,Syria,SY,Rīf Dimashq,minor,,
38,Tall Abyaḑ,36.696478000000006,38.953821999999995,Syria,SY,Ar Raqqah,minor,,
39,Nawá,32.890439,36.039895,Syria,SY,Dar‘ā,minor,,
40,Babīlā,33.471011,36.33076,Syria,SY,Rīf Dimashq,minor,,
41,Al Qaḩţānīyah,37.029002,41.545964,Syria,SY,Al Ḩasakah,minor,,
42,Banān,35.973582,37.302344,Syria,SY,Ḩalab,minor,,
43,Shaqqā,32.897735,36.696528,Syria,SY,As Suwaydā’,minor,,
44,Khān Arnabah,33.183776,35.891582,Syria,SY,Al Qunayţirah,minor,,
45,Khanāşir,35.781591999999996,37.499187,Syria,SY,Ḩalab,minor,,
46,Sulūk,36.595958,39.129901000000004,Syria,SY,Ar Raqqah,minor,,
47,Hīsh,35.547932,36.643563,Syria,SY,Idlib,minor,,
48,Arwād,34.856038,35.858537,Syria,SY,Ţarţūs,minor,,
49,Sirghāyā,33.810396000000004,36.157869,Syria,SY,Rīf Dimashq,minor,,
50,Al Jawādīyah,36.986603,41.820146,Syria,SY,Al Ḩasakah,minor,,
