,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Bang Rak,13.730579,100.523884,Thailand,TH,Krung Thep Maha Nakhon,minor,6704000.0,5104476.0
1,Chiang Mai,18.790376000000002,98.98468299999999,Thailand,TH,Chiang Mai,admin,397211.0,200952.0
2,Samut Prakan,13.600417000000002,100.596778,Thailand,TH,Samut Prakan,admin,388920.0,388920.0
3,Nakhon Ratchasima,14.971596,102.08255,Thailand,TH,Nakhon Ratchasima,admin,334984.0,208781.0
4,Hat Yai,7.008359,100.476682,Thailand,TH,Songkhla,minor,317954.0,191696.0
5,Ubon Ratchathani,15.238439999999999,104.848659,Thailand,TH,Ubon Ratchathani,admin,273893.0,122533.0
6,Nonthaburi,13.862167000000001,100.513417,Thailand,TH,Nonthaburi,admin,258550.0,258550.0
7,Khon Kaen,16.446710999999997,102.832999,Thailand,TH,Khon Kaen,admin,251056.0,147579.0
8,Udon Thani,17.415667000000003,102.785889,Thailand,TH,Udon Thani,admin,247231.0,231153.0
9,Nakhon Si Thammarat,8.433333,99.966667,Thailand,TH,Nakhon Si Thammarat,admin,232335.0,120836.0
10,Chon Buri,13.362198999999999,100.98345400000001,Thailand,TH,Chon Buri,admin,226618.0,216063.0
11,Lampang,18.292317999999998,99.49277,Thailand,TH,Lampang,admin,204081.0,156139.0
12,Si Racha,13.173722,100.931111,Thailand,TH,Chon Buri,minor,178916.0,9493.0
13,Phitsanulok,16.824806,100.258584,Thailand,TH,Phitsanulok,admin,164017.0,103427.0
14,Surat Thani,9.140108999999999,99.333114,Thailand,TH,Surat Thani,admin,157627.0,127201.0
15,Pathum Thani,14.013460999999998,100.530488,Thailand,TH,Pathum Thani,admin,154412.0,154412.0
16,Pattani,6.8749,101.254851,Thailand,TH,Pattani,admin,150000.0,43631.0
17,Yala,6.539946,101.281284,Thailand,TH,Yala,admin,148140.0,93558.0
18,Trang,7.558167,99.610528,Thailand,TH,Trang,admin,147820.0,59637.0
19,Phuket,7.8333330000000005,98.383333,Thailand,TH,Phuket,admin,141618.0,75573.0
20,Nakhon Pathom,13.819602,100.044274,Thailand,TH,Nakhon Pathom,admin,117927.0,117927.0
21,Ban Wiang Wai,19.871334,99.82419499999999,Thailand,TH,Chiang Rai,,117127.0,78756.0
22,Nakhon Sawan,15.704722,100.137167,Thailand,TH,Nakhon Sawan,admin,111915.0,111915.0
23,Ratchaburi,13.536710999999999,99.81711700000001,Thailand,TH,Ratchaburi,admin,106996.0,92448.0
24,Ban Nong Kham,17.845056,102.741139,Thailand,TH,Nong Khai,,104505.0,63609.0
25,Chanthaburi,12.609611,102.104472,Thailand,TH,Chanthaburi,admin,99819.0,90082.0
26,Phetchaburi,13.111889000000001,99.94466700000001,Thailand,TH,Phetchaburi,admin,90497.0,46601.0
27,Chumphon,10.495697999999999,99.179714,Thailand,TH,Chumphon,admin,85686.0,55835.0
28,Nan,18.783778,100.778993,Thailand,TH,Nan,admin,82483.0,24670.0
29,Prachin Buri,14.049917,101.368639,Thailand,TH,Prachin Buri,admin,79757.0,32600.0
30,Uttaradit,17.625572000000002,100.09420899999999,Thailand,TH,Uttaradit,admin,76630.0,58313.0
31,Sakon Nakhon,17.161157,104.147254,Thailand,TH,Sakon Nakhon,admin,76237.0,59274.0
32,Sara Buri,14.525228,100.910389,Thailand,TH,Sara Buri,admin,70769.0,70769.0
33,Narathiwat,6.426389,101.823084,Thailand,TH,Narathiwat,admin,68112.0,47771.0
34,Kanchanaburi,14.003195000000002,99.55005600000001,Thailand,TH,Kanchanaburi,admin,63699.0,63699.0
35,Samut Sakhon,13.547529999999998,100.273622,Thailand,TH,Samut Sakhon,admin,63498.0,63498.0
36,Surin,14.881806,103.493639,Thailand,TH,Surin,admin,62536.0,46673.0
37,Kamphaeng Phet,16.483442,99.521534,Thailand,TH,Kamphaeng Phet,admin,58787.0,58787.0
38,Chaiyaphum,15.81047,102.028812,Thailand,TH,Chaiyaphum,admin,58350.0,52032.0
39,Lop Buri,14.798084,100.653972,Thailand,TH,Lop Buri,admin,57761.0,26500.0
40,Nakhon Phanom,17.410806,104.77855600000001,Thailand,TH,Nakhon Phanom,admin,55377.0,34595.0
41,Kalasin,16.432806,103.506584,Thailand,TH,Kalasin,admin,55102.0,55102.0
42,Suphan Buri,14.474178,100.122178,Thailand,TH,Suphan Buri,admin,53399.0,53399.0
43,Maha Sarakham,16.184834,103.300667,Thailand,TH,Maha Sarakham,admin,51584.0,51584.0
44,Phetchabun,16.443306,101.14752800000001,Thailand,TH,Phetchabun,admin,50656.0,50656.0
45,Hua Hin,12.568997999999999,99.959011,Thailand,TH,Prachuap Khiri Khan,minor,50456.0,17470.0
46,Chachoengsao,13.688195,101.071556,Thailand,TH,Chachoengsao,admin,49741.0,49741.0
47,Songkhla,7.198822,100.595098,Thailand,TH,Songkhla,admin,48616.0,48616.0
48,Buriram,14.994334,103.10391700000001,Thailand,TH,Buriram,admin,47292.0,47292.0
49,Mae Sot,16.716667,98.56666700000001,Thailand,TH,Tak,minor,45781.0,44563.0
50,Si Sa Ket,15.114806,104.32938,Thailand,TH,Sisaket,admin,44751.0,40961.0
51,Phatthalung,7.617861,100.077917,Thailand,TH,Phatthalung,admin,43522.0,43522.0
52,Roi Et,16.053306,103.65386099999999,Thailand,TH,Roi Et,admin,39328.0,39328.0
53,Phrae,18.145889,100.141028,Thailand,TH,Phrae,admin,38538.0,17971.0
54,Rayong,12.668462,101.275503,Thailand,TH,Rayong,admin,37035.0,37035.0
55,Phichit,16.441842,100.348793,Thailand,TH,Phichit,admin,35760.0,35760.0
56,Loei,17.490517999999998,101.727488,Thailand,TH,Loei,admin,35273.0,24543.0
57,Samut Songkhram,13.414556,100.002639,Thailand,TH,Samut Songkhram,admin,35065.0,35065.0
58,Satun,6.623142,100.066758,Thailand,TH,Satun,admin,34544.0,34544.0
59,Prachuap Khiri Khan,11.810946000000001,99.793953,Thailand,TH,Prachuap Khiri Khan,admin,33521.0,33521.0
60,Tak,16.869684,99.128979,Thailand,TH,Tak,admin,33146.0,24149.0
61,Krabi,8.072574000000001,98.910516,Thailand,TH,Krabi,admin,31219.0,31219.0
62,Thung Song,8.164528,99.680389,Thailand,TH,Nakhon Si Thammarat,minor,28223.0,23852.0
63,Ranong,9.965834,98.634761,Thailand,TH,Ranong,admin,24561.0,24561.0
64,Aranyaprathet,13.692764000000002,102.501283,Thailand,TH,Sa Kaeo,minor,22472.0,20236.0
65,Uthai Thani,15.379389000000002,100.0245,Thailand,TH,Uthai Thani,admin,22219.0,16247.0
66,Yasothon,15.794079,104.145104,Thailand,TH,Yasothon,admin,21643.0,21643.0
67,Trat,12.241028,102.515472,Thailand,TH,Trat,admin,21590.0,21590.0
68,Nakhon Nayok,14.204631,101.212948,Thailand,TH,Nakhon Nayok,admin,21309.0,21309.0
69,Phayao,19.192028,99.878834,Thailand,TH,Phayao,admin,21058.0,19118.0
70,Sing Buri,14.887861,100.404639,Thailand,TH,Sing Buri,admin,20046.0,20046.0
71,Bua Yai,15.585516,102.425866,Thailand,TH,Nakhon Ratchasima,minor,18269.0,16832.0
72,Chai Nat,15.186360999999998,100.12352800000001,Thailand,TH,Chai Nat,admin,15469.0,15469.0
73,Lamphun,18.580537,99.007446,Thailand,TH,Lamphun,admin,14030.0,14030.0
74,Ang Thong,14.588389000000001,100.452834,Thailand,TH,Ang Thong,admin,13738.0,13738.0
75,Sukhothai,17.007778,99.823,Thailand,TH,Sukhothai,admin,10276.0,10276.0
76,Phangnga,8.450905,98.52985,Thailand,TH,Phangnga,admin,9676.0,9676.0
77,Mae Hong Son,19.308543,97.96530200000001,Thailand,TH,Mae Hong Son,admin,9109.0,9109.0
78,Ron Phibun,8.179111,99.85425,Thailand,TH,Nakhon Si Thammarat,minor,,
79,Prawet,13.717353,100.694524,Thailand,TH,Krung Thep Maha Nakhon,minor,,
80,Kantharalak,14.640556,104.649917,Thailand,TH,Sisaket,minor,,
81,Kantang,7.405417,99.51561099999999,Thailand,TH,Trang,minor,,
82,Kanthararom,15.103229,104.573427,Thailand,TH,Sisaket,minor,,
83,Lat Bua Luang,14.165722,100.307889,Thailand,TH,Phra Nakhon Si Ayutthaya,minor,,
