,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Dushanbe,38.56,68.773889,Tajikistan,TJ,Dushanbe,primary,1086244.0,679400.0
1,Khŭjand,40.28256,69.622155,Tajikistan,TJ,Sughd,admin,437684.0,144865.0
2,Qŭrghonteppa,37.833994,68.781858,Tajikistan,TJ,Khatlon,admin,311574.0,65000.0
3,Konibodom,40.294144,70.431224,Tajikistan,TJ,Sughd,minor,259876.0,50359.0
4,Kŭlob,37.914584999999995,69.784544,Tajikistan,TJ,Khatlon,minor,115164.0,78786.0
5,Khorugh,37.489744,71.553045,Tajikistan,TJ,Kŭhistoni Badakhshon,admin,30000.0,12035.0
6,Ishqoshim,36.724835999999996,71.613311,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
7,Ismoili Somoní,37.766267,68.801259,Tajikistan,TJ,Khatlon,minor,,
8,Vahdat,38.556319,69.013545,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
9,Shahrinav,38.570848,68.334978,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
10,Shahriston,39.774467,68.809289,Tajikistan,TJ,Sughd,minor,,
11,Proletar,40.167126,69.501631,Tajikistan,TJ,Sughd,minor,,
12,Istaravshan,39.914204,69.003275,Tajikistan,TJ,Sughd,minor,,
13,Roghun,38.69331,69.736918,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
14,Ghonchí,39.962382,69.129664,Tajikistan,TJ,Sughd,minor,,
15,Khovaling,38.341943,69.975306,Tajikistan,TJ,Khatlon,minor,,
16,Panj,37.236340999999996,69.09911,Tajikistan,TJ,Khatlon,minor,,
17,Tajikobod,39.124051,70.84009,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
18,Mehron,39.416911,69.28676800000001,Tajikistan,TJ,Sughd,minor,,
19,Dŭstí,37.348122,68.663983,Tajikistan,TJ,Khatlon,minor,,
20,Shŭrobod,37.841372,70.04865,Tajikistan,TJ,Khatlon,minor,,
21,Qubodiyon,37.409731,68.18643900000001,Tajikistan,TJ,Khatlon,minor,,
22,Fayzobod,38.547314,69.31979799999999,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
23,Zafarobod,40.176032,68.846789,Tajikistan,TJ,Sughd,minor,,
24,Baljuvon,38.308382,69.67671800000001,Tajikistan,TJ,Khatlon,minor,,
25,Jirghatol,39.219662,71.191553,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
26,Obikiik,38.160331,68.666049,Tajikistan,TJ,Khatlon,minor,,
27,Farkhor,37.492188,69.40355699999999,Tajikistan,TJ,Khatlon,minor,,
28,Moskva,37.661014,69.62849200000001,Tajikistan,TJ,Khatlon,minor,,
29,Vakhsh,37.714852,68.834563,Tajikistan,TJ,Khatlon,minor,,
30,Sovet,38.046702,69.588216,Tajikistan,TJ,Khatlon,minor,,
31,Sarband,37.871363,68.92232800000001,Tajikistan,TJ,Khatlon,minor,,
32,Ayní,39.394064,68.537658,Tajikistan,TJ,Sughd,minor,,
33,Isfara,40.126484999999995,70.62525699999999,Tajikistan,TJ,Sughd,minor,,
34,Darband,38.867761,69.96642,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
35,Nov,40.152198999999996,69.37076400000001,Tajikistan,TJ,Sughd,minor,,
36,Shaydon,40.669915,70.3502,Tajikistan,TJ,Sughd,minor,,
37,Tursunzoda,38.512707,68.23163199999999,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
38,Panjakent,39.495245000000004,67.609313,Tajikistan,TJ,Sughd,minor,,
39,Varzob,38.772771999999996,68.8178,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
40,Abdurahmoni Jomí,37.946359,68.80878,Tajikistan,TJ,Khatlon,minor,,
41,Vanj,38.370776,71.45474399999999,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
42,Bŭston,40.522859000000004,69.333075,Tajikistan,TJ,Sughd,minor,,
43,Danghara,38.095778,69.339978,Tajikistan,TJ,Khatlon,minor,,
44,Bahorí,37.401953999999996,67.994458,Tajikistan,TJ,Khatlon,minor,,
45,Jilikŭl,37.491667,68.531056,Tajikistan,TJ,Khatlon,minor,,
46,Somoniyon,38.441728000000005,68.774582,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
47,Murghob,38.170228,73.966736,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
48,Norak,38.389165999999996,69.322716,Tajikistan,TJ,Khatlon,minor,,
49,Hisor,38.525045,68.551236,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
50,Qalaikhumb,38.453728999999996,70.789015,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
51,Rŭshon,37.944873,71.557445,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
52,Roshtqal’a,37.258272,71.825912,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
53,Vose’,37.803955,69.644165,Tajikistan,TJ,Khatlon,minor,,
54,Tavildara,38.695289,70.48422099999999,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
55,Rasht,39.028715000000005,70.374459,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
56,Kolkhozobod,37.588232,68.65886400000001,Tajikistan,TJ,Khatlon,minor,,
57,Shahritus,37.262065,68.138492,Tajikistan,TJ,Khatlon,minor,,
58,Mŭ’minobod,38.107144,70.03213000000001,Tajikistan,TJ,Khatlon,minor,,
59,Yovon,38.314083000000004,69.037841,Tajikistan,TJ,Khatlon,minor,,
60,Ghafurov,40.215706,69.728668,Tajikistan,TJ,Sughd,minor,,
