,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Istanbul,41.011046,28.957797999999997,Turkey,TR,İstanbul,admin,10061000.0,9945610.0
1,Ankara,39.911652000000004,32.840305,Turkey,TR,Ankara,primary,3716000.0,3307379.0
2,İzmir,38.412726,27.138376,Turkey,TR,İzmir,admin,2587000.0,2322818.0
3,Bursa,40.195593,29.060129999999997,Turkey,TR,Bursa,admin,1492000.0,1359089.0
4,Adana,37.001667,35.328889000000004,Turkey,TR,Adana,admin,1293000.0,1197890.0
5,Gaziantep,37.059444,37.3825,Turkey,TR,Gaziantep,admin,1044000.0,842524.0
6,Konya,37.871354,32.484636,Turkey,TR,Konya,admin,919000.0,518360.0
7,Tarsus,36.91766,34.892773,Turkey,TR,Mersin,minor,894318.0,238276.0
8,Antalya,36.908118,30.695565000000002,Turkey,TR,Antalya,admin,783000.0,623937.0
9,Trabzon,41.005,39.726944,Turkey,TR,Trabzon,admin,764714.0,230399.0
10,Diyarbakır,37.913629,40.217213,Turkey,TR,Diyarbakır,admin,644763.0,636410.0
11,Samsun,41.286667,36.33,Turkey,TR,Samsun,admin,609339.0,538106.0
12,Kayseri,38.732222,35.485278,Turkey,TR,Kayseri,admin,592840.0,531591.0
13,Eskişehir,39.776666999999996,30.520556,Turkey,TR,Eskişehir,admin,514869.0,466420.0
14,Kocaeli,40.766944,29.916944,Turkey,TR,Kocaeli,admin,466504.0,300611.0
15,Malatya,38.350183,38.316669,Turkey,TR,Malatya,admin,461574.0,441805.0
16,Şanlıurfa,37.16708,38.793919,Turkey,TR,Şanlıurfa,admin,449549.0,413266.0
17,Erzurum,39.908611,41.276944,Turkey,TR,Erzurum,admin,420691.0,362917.0
18,Kahramanmaraş,37.584705,36.926404999999995,Turkey,TR,Kahramanmaraş,admin,376045.0,373446.0
19,Denizli,37.774167,29.0875,Turkey,TR,Denizli,admin,372344.0,313238.0
20,Van,38.494565,43.383231,Turkey,TR,Van,admin,371713.0,280811.0
21,Hatay,36.206551,36.157225,Turkey,TR,Hatay,admin,305564.0,305564.0
22,Batman,37.887378000000005,41.132208,Turkey,TR,Batman,admin,302074.0,250601.0
23,İskenderun,36.587185,36.173468,Turkey,TR,Hatay,minor,297943.0,159965.0
24,Sakarya,40.780556,30.403333,Turkey,TR,Sakarya,admin,286787.0,286787.0
25,Rize,41.020833,40.521944,Turkey,TR,Rize,admin,279450.0,96503.0
26,Elazığ,38.674314,39.223206,Turkey,TR,Elazığ,admin,271492.0,271492.0
27,Sivas,39.748333,37.016110999999995,Turkey,TR,Sivas,admin,264022.0,227581.0
28,Balıkesir,39.649167,27.886111,Turkey,TR,Balıkesir,admin,261516.0,238151.0
29,Manisa,38.612018,27.426465000000004,Turkey,TR,Manisa,admin,243971.0,231429.0
30,Adıyaman,37.76441,38.276286999999996,Turkey,TR,Adıyaman,admin,223744.0,167250.0
31,Kırıkkale,39.845278,33.506389,Turkey,TR,Kırıkkale,admin,211138.0,205971.0
32,Aydın,37.845008,27.839626000000003,Turkey,TR,Aydın,admin,198857.0,163022.0
33,Kütahya,39.424167,29.983333000000002,Turkey,TR,Kütahya,admin,185008.0,151911.0
34,Çorum,40.548889,34.953333,Turkey,TR,Çorum,admin,183418.0,153670.0
35,Isparta,37.764444,30.552221999999997,Turkey,TR,Isparta,admin,172334.0,149844.0
36,Zonguldak,41.451392,31.793053000000004,Turkey,TR,Zonguldak,admin,156918.0,100229.0
37,Ordu,40.97793,37.870851,Turkey,TR,Ordu,admin,155117.0,116788.0
38,Uşak,38.673511,29.405799,Turkey,TR,Uşak,admin,152862.0,141519.0
39,Nusaybin,37.061187,41.204359000000004,Turkey,TR,Mardin,minor,152668.0,88977.0
40,Tokat,40.313889,36.554444000000004,Turkey,TR,Tokat,admin,129702.0,129702.0
41,Erzincan,39.739186,39.490152,Turkey,TR,Erzincan,admin,129407.0,114027.0
42,Karabük,41.204884,32.62768,Turkey,TR,Karabük,admin,128564.0,97481.0
43,Edirne,41.675745,26.558665,Turkey,TR,Edirne,admin,126470.0,102378.0
44,Tekirdağ,40.978012,27.508523999999998,Turkey,TR,Tekirdağ,admin,122287.0,94245.0
45,Karaman,37.181111,33.215,Turkey,TR,Karaman,admin,120399.0,86840.0
46,Giresun,40.91698,38.387406,Turkey,TR,Giresun,admin,98864.0,98864.0
47,Bafra,41.567778000000004,35.906944,Turkey,TR,Samsun,minor,97452.0,92944.0
48,Bolu,40.735833,31.606111,Turkey,TR,Bolu,admin,96629.0,96349.0
49,Kırşehir,39.145833,34.163889000000005,Turkey,TR,Kırşehir,admin,94336.0,94336.0
50,Samandağ,36.080118,35.97603,Turkey,TR,Hatay,minor,93638.0,93638.0
51,Polatlı,39.577155,32.141317,Turkey,TR,Ankara,minor,93262.0,52001.0
52,Ereğli,37.512691,34.048189,Turkey,TR,Konya,minor,92117.0,81009.0
53,Niğde,37.965834,34.679352,Turkey,TR,Niğde,admin,91039.0,91039.0
54,Lüleburgaz,41.403847999999996,27.359181,Turkey,TR,Kırklareli,minor,90899.0,45080.0
55,Yozgat,39.82,34.804444000000004,Turkey,TR,Yozgat,admin,87881.0,87881.0
56,Ağrı,39.714665999999994,43.040151,Turkey,TR,Ağrı,admin,87854.0,87854.0
57,Çanakkale,40.155522999999995,26.412707,Turkey,TR,Çanakkale,admin,87791.0,61543.0
