,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Tanmei,25.055738,121.58142099999999,Taiwan,TW,Taipei,,6900273.0,2618772.0
1,Kaohsiung,22.616256,120.31332900000001,Taiwan,TW,Kaohsiung,admin,2769072.0,1519711.0
2,Taiping,24.128582,120.719296,Taiwan,TW,Taichung,,2629323.0,1040725.0
3,Tainan,22.990833,120.213333,Taiwan,TW,Tainan,admin,1876312.0,762000.0
4,Zhongcuo,24.966667,121.233333,Taiwan,TW,Taoyuan,,1632616.0,369770.0
5,Shangzhuwei,24.056110999999998,120.49,Taiwan,TW,Changhua,,750000.0,236588.0
6,Hsinchu,24.803611,120.96861100000001,Taiwan,TW,Hsinchu,admin,750000.0,415557.0
7,Pingtung,22.671354,120.488142,Taiwan,TW,Pingtung,admin,503530.0,215975.0
8,Chiayi,23.479167,120.448889,Taiwan,TW,Chiayi,admin,500000.0,274212.0
9,Keelung,25.128251000000002,121.7419,Taiwan,TW,Keelung,admin,500000.0,387207.0
10,Taoyuan,24.9896,121.3187,Taiwan,TW,Taoyuan,admin,500000.0,402014.0
11,Hualien,23.976944,121.604444,Taiwan,TW,Hualien,admin,350468.0,108658.0
12,Pingzhen,24.922778,121.204167,Taiwan,TW,Taoyuan,,201632.0,201632.0
13,Zhubei,24.838333,121.007778,Taiwan,TW,Hsinchu,admin,200000.0,148006.0
14,Taitung,22.759912,121.14456899999999,Taiwan,TW,Taitung,admin,175000.0,109584.0
15,Xiaoyangmei,24.889722,121.14638899999999,Taiwan,TW,Taoyuan,,175000.0,150022.0
16,Bade,24.929813,121.28371899999999,Taiwan,TW,Taoyuan,,172065.0,172065.0
17,Zhuangtou,23.933332999999998,120.7,Taiwan,TW,Nantou,,165000.0,103698.0
18,Xiaoji,24.609079,120.8255,Taiwan,TW,Miaoli,,150000.0,90988.0
19,Yilan,24.756999999999998,121.75299999999999,Taiwan,TW,Yilan,admin,150000.0,95831.0
20,Douliu,23.709444,120.543333,Taiwan,TW,Yunlin,admin,106653.0,104723.0
21,Magong,23.569958,119.570043,Taiwan,TW,Penghu,admin,56435.0,56435.0
22,Pozi,23.464953,120.244153,Taiwan,TW,Chiayi,,50000.0,44084.0
23,Taibao,23.459444,120.332222,Taiwan,TW,Chiayi,admin,35000.0,34330.0
24,Nantou,23.905877,120.686558,Taiwan,TW,Nantou,admin,,
25,Nangan,26.150391,119.93283600000001,Taiwan,TW,Lienchiang,admin,,
26,Taipei,25.047763,121.531846,Taiwan,TW,Taipei,primary,,
27,Miaoli,24.564270999999998,120.82366999999999,Taiwan,TW,Miaoli,admin,,
28,Banqiao,25.014266,121.46719099999999,Taiwan,TW,New Taipei,admin,,
29,Changhua,24.074,120.5384,Taiwan,TW,Changhua,admin,,
30,Taichung,24.1469,120.6839,Taiwan,TW,Taichung,admin,,
31,Jincheng,24.434147,118.317118,Taiwan,TW,Kinmen,admin,,
