,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Dar es Salaam,-6.8,39.283333,Tanzania,TZ,,primary,2930000.0,2698652.0
1,Moshi,-3.35,37.333333,Tanzania,TZ,Kilimanjaro,admin,721018.0,206728.0
2,Mwanza,-2.516667,32.9,Tanzania,TZ,Mwanza,admin,493944.0,436801.0
3,Zanzibar,-6.1666669999999995,39.183333000000005,Tanzania,TZ,Zanzibar Urban/West,admin,403658.0,373220.0
4,Arusha,-3.3666669999999996,36.683333000000005,Tanzania,TZ,Arusha,admin,341136.0,320074.0
5,Mbeya,-8.9,33.45,Tanzania,TZ,Mbeya,admin,291649.0,232062.0
6,Morogoro,-6.816667,37.666667,Tanzania,TZ,Morogoro,admin,250902.0,234535.0
7,Tanga,-5.066667,39.1,Tanzania,TZ,Tanga,admin,224876.0,209435.0
8,Dodoma,-6.183333,35.75,Tanzania,TZ,,primary,218269.0,180541.0
9,Kigoma,-4.876944,29.626666999999998,Tanzania,TZ,Kigoma,admin,164268.0,164268.0
10,Tabora,-5.016667,32.8,Tanzania,TZ,Tabora,admin,146495.0,145292.0
11,Musoma,-1.5,33.8,Tanzania,TZ,Mara,admin,133156.0,121119.0
12,Tukuyu,-9.25,33.65,Tanzania,TZ,Mbeya,,127570.0,28398.0
13,Songea,-10.683333,35.65,Tanzania,TZ,Ruvuma,admin,126449.0,115397.0
14,Iringa,-7.766667,35.7,Tanzania,TZ,Iringa,admin,111820.0,94760.0
15,Shinyanga,-3.666667,33.433333000000005,Tanzania,TZ,Shinyanga,admin,107362.0,80226.0
16,Bukoba,-1.331667,31.812222,Tanzania,TZ,Kagera,admin,100504.0,70628.0
17,Mtwara,-10.266667,40.183333000000005,Tanzania,TZ,Mtwara,admin,96602.0,86746.0
18,Kilosa,-6.8333330000000005,36.983333,Tanzania,TZ,Morogoro,,91889.0,13227.0
19,Sumbawanga,-7.966667,31.616667,Tanzania,TZ,Rukwa,admin,89161.0,63932.0
20,Bagamoyo,-6.433333,38.9,Tanzania,TZ,Coast,,82426.0,793.0
21,Uvinza,-5.103611,30.391111,Tanzania,TZ,Kigoma,,80350.0,24650.0
22,Mpanda,-6.365464,31.040910999999998,Tanzania,TZ,Katavi,,73338.0,73338.0
23,Singida,-4.816667,34.75,Tanzania,TZ,Singida,admin,62432.0,33067.0
24,Korogwe,-5.15,38.483333,Tanzania,TZ,Tanga,,50000.0,44000.0
25,Chake Chake,-5.25,39.766667,Tanzania,TZ,Pemba South,admin,49959.0,21686.0
26,Ifakara,-8.133333,36.683333000000005,Tanzania,TZ,Morogoro,,49528.0,6331.0
27,Njombe,-9.333333,34.766667,Tanzania,TZ,Njombe,,46724.0,37311.0
28,Lindi,-10.0,39.716667,Tanzania,TZ,Lindi,admin,41912.0,13995.0
29,Kasulu,-4.576667,30.1025,Tanzania,TZ,Kigoma,,37349.0,25088.0
30,Tunduma,-9.3,32.766667,Tanzania,TZ,Mbeya,,36556.0,18530.0
