,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Kiev,50.433333000000005,30.516666999999998,Ukraine,UA,"Kyyiv, Misto",primary,2709000.0,1662508.0
1,Kharkiv,49.980814,36.252718,Ukraine,UA,Kharkivs’ka Oblast’,admin,1461000.0,1215127.0
2,Dnipro,48.459298,35.038647999999995,Ukraine,UA,Dnipropetrovs’ka Oblast’,admin,1050000.0,848849.0
3,Odesa,46.463934,30.738551,Ukraine,UA,Odes’ka Oblast’,admin,991000.0,704001.0
4,Donets’k,47.991664,37.775928,Ukraine,UA,Donets’ka Oblast’,admin,988000.0,760275.0
5,L’viv,49.840661,24.030451,Ukraine,UA,L’vivs’ka Oblast’,admin,803880.0,717803.0
6,Zaporizhzhya,47.822891999999996,35.190314,Ukraine,UA,Zaporiz’ka Oblast’,admin,788000.0,413557.0
7,Kryvyy Rih,47.911299,33.453925,Ukraine,UA,Dnipropetrovs’ka Oblast’,,652380.0,490907.0
8,Mykolayiv,46.965909,31.997403000000002,Ukraine,UA,Mykolayivs’ka Oblast’,admin,510840.0,194995.0
9,Mariupol’,47.105705,37.533086,Ukraine,UA,Donets’ka Oblast’,,481626.0,351244.0
10,Luhans’k,48.567046000000005,39.31706,Ukraine,UA,Luhans’ka Oblast’,admin,452000.0,365862.0
11,Khmel’nyts’kyy,49.421608,26.996529,Ukraine,UA,Khmel’nyts’ka Oblast’,admin,398346.0,245840.0
12,Horlivka,48.335761,38.05325,Ukraine,UA,Donets’ka Oblast’,,396885.0,278550.0
13,Sevastopol’,44.58828,33.5224,Ukraine,UA,"Sevastopol’, Misto",admin,379200.0,314465.0
14,Makiyivka,48.047816,37.925764,Ukraine,UA,Donets’ka Oblast’,,376610.0,261155.0
15,Simferopol’,44.957186,34.110787,Ukraine,UA,"Krym, Avtonomna Respublika",admin,358108.0,253657.0
16,Vinnytsya,49.232776,28.480968,Ukraine,UA,Vinnyts’ka Oblast’,admin,352115.0,347139.0
17,Kherson,46.655814,32.6178,Ukraine,UA,Khersons’ka Oblast’,admin,320477.0,236680.0
18,Poltava,49.593727,34.540733,Ukraine,UA,Poltavs’ka Oblast’,admin,317847.0,286588.0
19,Chernihiv,51.505507,31.284875,Ukraine,UA,Chernihivs’ka Oblast’,admin,307684.0,279629.0
20,Chernivtsi,48.291488,25.940341,Ukraine,UA,Chernivets’ka Oblast’,admin,298251.0,236250.0
21,Cherkasy,49.428536,32.06207,Ukraine,UA,Cherkas’ka Oblast’,admin,297568.0,273821.0
22,Sumy,50.921597,34.800294,Ukraine,UA,Sums’ka Oblast’,admin,294456.0,285146.0
