,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Kawaala,0.338863,32.554064000000004,Uganda,UG,Kampala,,1420000.0,1353189.0
1,Mbale,1.074804,34.177352,Uganda,UG,Mbale,admin,402368.0,91800.0
2,Jinja,0.42444399999999993,33.204167,Uganda,UG,Jinja,admin,301619.0,89700.0
3,Arua,3.0201290000000003,30.911052,Uganda,UG,Arua,admin,250000.0,59400.0
4,Old Entebbe,0.028056,32.445278,Uganda,UG,Wakiso,,175128.0,79700.0
5,Tororo,0.692991,34.180853000000006,Uganda,UG,Tororo,admin,150000.0,43700.0
6,Gulu,2.774569,32.29899,Uganda,UG,Gulu,admin,146858.0,142003.0
7,Lira,2.235,32.909721999999995,Uganda,UG,Lira,admin,135445.0,119323.0
8,Mbarara,-0.630583,30.658178999999997,Uganda,UG,Mbarara,admin,83700.0,83700.0
9,Bembe,0.616667,32.55,Uganda,UG,Luwero,,75000.0,21000.0
10,Kasese,0.23,29.988333,Uganda,UG,Kasese,admin,67269.0,67269.0
11,Masaka,-0.312724,31.715937,Uganda,UG,Masaka,admin,65373.0,65373.0
12,Kitgum,3.2922839999999995,32.877828,Uganda,UG,Kitgum,admin,56891.0,8680.0
13,Busia,0.45444399999999996,34.075833,Uganda,UG,Busia,admin,47100.0,47100.0
14,Iganga,0.609167,33.468610999999996,Uganda,UG,Iganga,admin,45024.0,45024.0
15,Kabale,-1.326111,30.003889,Uganda,UG,Kabale,admin,44600.0,44600.0
16,Fort Portal,0.661959,30.282684000000003,Uganda,UG,Kabarole,admin,42670.0,42670.0
17,Mityana,0.4175,32.022778,Uganda,UG,Mityana,admin,41131.0,33710.0
18,Adjumani,3.3778620000000004,31.790896999999998,Uganda,UG,Adjumani,admin,34700.0,34700.0
19,Masindi,1.6744439999999998,31.715,Uganda,UG,Masindi,admin,31486.0,31486.0
20,Pallisa,1.145,33.709444,Uganda,UG,Pallisa,admin,30745.0,30745.0
21,Nebbi,2.478259,31.088935,Uganda,UG,Nebbi,admin,30354.0,30354.0
22,Moyo,3.660883,31.724736,Uganda,UG,Moyo,admin,22434.0,22434.0
23,Kayunga,0.7025,32.888611,Uganda,UG,Kayunga,admin,21704.0,21704.0
24,Mubende,0.589167,31.36,Uganda,UG,Mubende,admin,18936.0,176.0
25,Pakwach,2.460932,31.494934000000004,Uganda,UG,Nebbi,,17541.0,17541.0
26,Ntungamo,-0.879444,30.264166999999997,Uganda,UG,Ntungamo,admin,16400.0,16400.0
27,Kiboga,0.916111,31.774167,Uganda,UG,Kiboga,admin,14512.0,14512.0
28,Sironko,1.234913,34.256757,Uganda,UG,Sironko,admin,14100.0,14100.0
29,Kumi,1.460833,33.936111,Uganda,UG,Kumi,admin,13000.0,13000.0
30,Kisoro,-1.283639,29.688249,Uganda,UG,Kisoro,admin,12900.0,12900.0
31,Kamuli,0.9472219999999999,33.119721999999996,Uganda,UG,Kamuli,admin,12764.0,12764.0
32,Mpami,0.216667,32.333333,Uganda,UG,Mpigi,,11082.0,11082.0
33,Katakwi,1.891111,33.966111,Uganda,UG,Katakwi,admin,8400.0,8400.0
34,Masindi Port,1.696058,32.086081,Uganda,UG,Kiryandongo,,8319.0,7828.0
35,Nakasongola,1.308889,32.456389,Uganda,UG,Nakasongola,admin,6921.0,6921.0
36,Kibale,0.790833,31.063333,Uganda,UG,Kibaale,,5200.0,5200.0
37,Kalangala,-0.30888899999999997,32.225,Uganda,UG,Kalangala,admin,5200.0,5200.0
38,Kaberamaido,1.738889,33.159444,Uganda,UG,Kaberamaido,admin,3400.0,3400.0
39,Katwe,-0.14166700000000002,29.830278000000003,Uganda,UG,Kasese,,1957.0,1957.0
40,Kaabong,3.4836110000000002,34.149167,Uganda,UG,Kaabong,admin,1137.0,1137.0
41,Soroti,1.685556,33.616389,Uganda,UG,Soroti,admin,1038.0,1038.0
42,Moroto,2.52922,34.659753,Uganda,UG,Moroto,admin,371.0,371.0
43,Kyenjojo,0.632778,30.621389,Uganda,UG,Kyenjojo,admin,,
44,Bulisa,2.117807,31.411633000000002,Uganda,UG,Buliisa,admin,,
