,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Ho Chi Minh City,10.776577,106.70085,Vietnam,VN,Hồ Chí Minh,admin,5314000.0,3467331.0
1,Hanoi,21.028167,105.854152,Vietnam,VN,Hà Nội,primary,4378000.0,1431270.0
2,Haiphong,20.864807,106.683449,Vietnam,VN,Hải Phòng,admin,1969000.0,602695.0
3,Cần Thơ,10.037105,105.788249,Vietnam,VN,Cần Thơ,admin,1121000.0,259598.0
4,Đà Nẵng,16.074806,108.22395800000001,Vietnam,VN,Đà Nẵng,admin,1000000.0,887069.0
5,Huế,16.461901,107.59545800000001,Vietnam,VN,Thừa Thiên-Huế,admin,950000.0,340000.0
6,Quy Nhơn,13.768898000000002,109.228563,Vietnam,VN,Bình Định,admin,805290.0,280900.0
7,Hiệp Hòa,10.933333,106.83333300000001,Vietnam,VN,Đồng Nai,,652646.0,652646.0
8,Phú Vinh,18.716667,105.7,Vietnam,VN,Nghệ An,,593645.0,435208.0
9,Thành Phố Thái Nguyên,21.59422,105.84817199999999,Vietnam,VN,Thái Nguyên,admin,500000.0,330000.0
10,Nha Trang,12.248089,109.19436,Vietnam,VN,Khánh Hòa,admin,411556.0,283441.0
11,Cà Mau,9.176817,105.15242099999999,Vietnam,VN,Cà Mau,admin,356636.0,204895.0
12,Việt Trì,21.32274,105.401981,Vietnam,VN,Phú Thọ,admin,350000.0,260288.0
13,Long Xuyên,10.386391999999999,105.43517800000001,Vietnam,VN,An Giang,admin,350000.0,158153.0
14,Buôn Ma Thuột,12.674192,108.04354199999999,Vietnam,VN,Đắk Lắk,admin,349945.0,146975.0
15,Phan Thiết,10.928888,108.102078,Vietnam,VN,Bình Thuận,admin,336846.0,160652.0
16,Xóm Rạch Giồng,10.033333,105.066667,Vietnam,VN,Kiến Giang,,300000.0,205660.0
17,Sóc Trăng,9.599946000000001,105.97193200000001,Vietnam,VN,Sóc Trăng,admin,300000.0,173922.0
18,Đà Lạt,11.935883,108.44289099999999,Vietnam,VN,Lâm Đồng,admin,256019.0,131377.0
19,Quảng Ngãi,15.120467000000001,108.792318,Vietnam,VN,Quảng Ngãi,admin,250000.0,119251.0
20,Vũng Tàu,10.35,107.066667,Vietnam,VN,Bà Rịa-Vũng Tàu,admin,248767.0,209683.0
21,Thủ Dầu Một,10.980396,106.651905,Vietnam,VN,Bình Dương,admin,244277.0,244277.0
22,Thành Phố Nam Định,20.433885999999998,106.17728600000001,Vietnam,VN,Nam Định,admin,243186.0,243186.0
23,Thành phố Bạc Liêu,9.294141,105.727764,Vietnam,VN,Bạc Liêu,admin,225000.0,150000.0
