,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Sanaa,15.354722,44.206666999999996,Yemen,YE,Amānat al ‘Āşimah,primary,2008000.0,1835853.0
1,Aden,12.779444,45.036667,Yemen,YE,‘Adan,admin,1000000.0,550602.0
2,Al Ḩudaydah,14.797812,42.954516,Yemen,YE,Al Ḩudaydah,admin,780000.0,475221.0
3,Ta‘izz,13.579522,44.020908,Yemen,YE,Ta‘izz,admin,751000.0,615222.0
4,Al Mukallā,14.542481,49.124244,Yemen,YE,Ḩaḑramawt,admin,258132.0,130029.0
5,Ibb,13.940771,44.177343,Yemen,YE,Ibb,admin,234837.0,234837.0
6,Ḩajjah,15.694247,43.605821,Yemen,YE,Ḩajjah,admin,208287.0,43549.0
7,Dhamār,14.542742,44.405145000000005,Yemen,YE,Dhamār,admin,191259.0,191259.0
8,Zabīd,14.1951,43.315181,Yemen,YE,Al Ḩudaydah,minor,152504.0,52590.0
9,Say’ūn,15.943332999999999,48.793333000000004,Yemen,YE,Ḩaḑramawt,minor,68747.0,68747.0
10,Laḩij,13.056667,44.881944,Yemen,YE,Laḩij,admin,66288.0,23375.0
11,Ash Shiḩr,14.760257999999999,49.60537,Yemen,YE,Ḩaḑramawt,minor,54274.0,54274.0
12,Radā‘,14.415097,44.837089,Yemen,YE,Al Bayḑā’,minor,45233.0,45233.0
13,Al Bayḑā’,13.985226,45.572719,Yemen,YE,Al Bayḑā’,admin,37821.0,37821.0
14,‘Ataq,14.537664999999999,46.831868,Yemen,YE,Shabwah,admin,37315.0,37315.0
15,Al Ghayz̧ah,16.207869,52.17605,Yemen,YE,Al Mahrah,admin,27404.0,20000.0
16,Ma’rib,15.460977,45.325301,Yemen,YE,Ma’rib,admin,16794.0,16794.0
17,Ḩadībū,12.65008,54.022335999999996,Yemen,YE,Arkhabīl Suquţrá,admin,11396.0,8545.0
18,Sayḩūt,15.210556,51.245556,Yemen,YE,Al Mahrah,minor,189.0,189.0
19,Bājil,15.058983999999999,43.287310999999995,Yemen,YE,Al Ḩudaydah,minor,,
20,Burūm,14.363610999999999,48.979721999999995,Yemen,YE,Ḩaḑramawt,minor,,
21,Ḩaydān,16.77899,43.433716,Yemen,YE,Şa‘dah,minor,,
22,Kirsh,13.364734,44.490462,Yemen,YE,Laḩij,minor,,
