,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Johannesburg,-26.205171,28.049815000000002,South Africa,ZA,Gauteng,admin,3435000.0,2026469.0
1,Cape Town,-33.925839,18.423218,South Africa,ZA,Western Cape,primary,3215000.0,2432858.0
2,Benoni,-26.190851000000002,28.311338,South Africa,ZA,Gauteng,,2986000.0,605344.0
3,Durban,-29.857896000000004,31.029197999999997,South Africa,ZA,KwaZulu-Natal,,2729000.0,2729000.0
4,Pretoria,-25.706944,28.229444,South Africa,ZA,Gauteng,primary,1338000.0,1338000.0
5,Vereeniging,-26.673133,27.926146999999997,South Africa,ZA,Gauteng,,1074000.0,474681.0
6,Port Elizabeth,-33.917988,25.570066,South Africa,ZA,Eastern Cape,,1021000.0,640054.0
7,Pietermaritzburg,-29.616784999999997,30.39278,South Africa,ZA,KwaZulu-Natal,admin,750845.0,490951.0
8,Bloemfontein,-29.121065,26.214002999999998,South Africa,ZA,Free State,primary,463064.0,456669.0
9,Welkom,-27.986441999999997,26.706612,South Africa,ZA,Free State,,431944.0,126079.0
10,Nelspruit,-25.474482000000002,30.970333,South Africa,ZA,Mpumalanga,admin,348138.0,21540.0
11,East London,-33.011051,27.910049,South Africa,ZA,Eastern Cape,,338627.0,338627.0
12,Thohoyandou,-22.945642000000003,30.484971999999996,South Africa,ZA,Limpopo,,269707.0,44046.0
13,Springs,-26.258374,28.471729999999997,South Africa,ZA,Gauteng,,236083.0,186394.0
14,Uitenhage,-33.75757,25.397099,South Africa,ZA,Eastern Cape,,228912.0,206766.0
15,Polokwane,-23.904485,29.468851,South Africa,ZA,Limpopo,admin,220045.0,123749.0
16,Paarl,-33.733781,18.975228,South Africa,ZA,Western Cape,,187865.0,131718.0
17,Klerksdorp,-26.852128000000004,26.666719,South Africa,ZA,North West,,178921.0,147804.0
18,George,-33.963,22.461727,South Africa,ZA,Western Cape,,174582.0,113248.0
19,Rustenburg,-25.667562,27.242078999999997,South Africa,ZA,North West,,165976.0,124064.0
20,Kimberley,-28.732262,24.762315,South Africa,ZA,Northern Cape,admin,165264.0,142089.0
21,Bhisho,-32.847212,27.442179,South Africa,ZA,Eastern Cape,admin,160997.0,137287.0
22,Middelburg,-25.775071,29.464821,South Africa,ZA,Mpumalanga,,154706.0,93790.0
23,Vryheid,-27.76952,30.791653000000004,South Africa,ZA,KwaZulu-Natal,,150012.0,66717.0
