,city,lat,lng,country,iso2,admin,capital,population,population_proper
0,Lusaka,-15.416667000000002,28.283333000000002,Zambia,ZM,Lusaka,primary,1328000,1267440
1,Kitwe,-12.79614,28.247671999999998,Zambia,ZM,Copperbelt,,404901,400914
2,Ndola,-12.958672,28.636592999999998,Zambia,ZM,Copperbelt,admin,396339,394518
3,Kasama,-10.212889,31.180842,Zambia,ZM,Northern,admin,200000,113000
4,Kabwe,-14.443217,28.451743,Zambia,ZM,Central,admin,188979,188355
5,Chingola,-12.528967999999999,27.883817999999998,Zambia,ZM,Copperbelt,,182015,148564
6,Livingstone,-17.841939,25.85425,Zambia,ZM,Southern,admin,165480,109203
7,Mufulira,-12.54982,28.240710999999997,Zambia,ZM,Copperbelt,,153624,120500
8,Luanshya,-13.136671,28.416611,Zambia,ZM,Copperbelt,,151993,113365
9,Chipata,-13.633332999999999,32.65,Zambia,ZM,Eastern,admin,85963,78947
10,Chililabombwe,-12.364754,27.82286,Zambia,ZM,Copperbelt,,82068,57328
11,Solwezi,-12.168796,26.389381,Zambia,ZM,North-Western,admin,65000,38587
12,Mazabuka,-15.856010000000001,27.747999,Zambia,ZM,Southern,,64006,51743
13,Mongu,-15.248351999999999,23.127413,Zambia,ZM,Western,admin,52534,37663
14,Kafue,-15.769107,28.181362,Zambia,ZM,Lusaka,,47554,3897
15,Choma,-16.806476999999997,26.953055,Zambia,ZM,Southern,,46746,37902
16,Mansa,-11.199757,28.894314,Zambia,ZM,Luapula,admin,42277,20437
17,Kapiri Mposhi,-13.965182,28.680854999999998,Zambia,ZM,Central,,37942,22214
18,Mpika,-11.834309,31.452865999999997,Zambia,ZM,Muchinga,,28445,6040
19,Nchelenge,-9.345061999999999,28.733957,Zambia,ZM,Luapula,,23693,8115
20,Kawambwa,-9.791497,29.079134000000003,Zambia,ZM,Luapula,,20589,20121
21,Mbala,-8.840242,31.365868,Zambia,ZM,Northern,,20570,16198
22,Sesheke,-17.475932999999998,24.296838,Zambia,ZM,Western,,20149,206
23,Mumbwa,-14.978316,27.061884000000003,Zambia,ZM,Central,,19086,9731
24,Kaoma,-14.783332999999999,24.8,Zambia,ZM,Western,,14212,306
25,Chinsali,-10.54142,32.081624,Zambia,ZM,Muchinga,admin,14015,950
26,Mwinilunga,-11.85,24.366667,Zambia,ZM,North-Western,,13798,2875
27,Lundazi,-12.292923,33.178201,Zambia,ZM,Eastern,,11635,7446
28,Senanga,-16.116667,23.266667,Zambia,ZM,Western,,10005,10005
29,Masambo,-15.0,22.716667,Zambia,ZM,Western,,7731,7731
30,Zambezi,-13.543232000000001,23.104665,Zambia,ZM,North-Western,,7074,2901
31,Kasempa,-13.458357999999999,25.833802,Zambia,ZM,North-Western,,5622,5622
32,Likulunga,-14.35,23.25,Zambia,ZM,Western,,3349,3349
33,Nyimba,-14.556560999999999,30.814899,Zambia,ZM,Eastern,,1336,292
