"",city,country,lat,lon
0,Funchal,Madère,32.65,-16.9167
1,Kampala,Ouganda,0.313611,32.5811
2,Lobamba,Eswatini,-26.4167,31.1667
3,Yaoundé,Cameroun,3.86667,11.5167
4,Abuja,Nigeria,9.06667,7.48333
5,São Tomé,São Tomé-et-Príncipe,0.336111,6.68139
6,Lusaka,Zambie,-15.4167,28.2833
7,Nouakchott,Mauritanie,18.1,-15.95
8,Laâyoune,Sahara Occidental,27.1536,-13.2033
9,Antananarivo,Madagascar,-18.9333,47.5167
10,Tunis,Tunisie,36.8,10.1833
11,Bamako,Mali,12.65,-8.0
12,Freetown,Sierra Leone,8.48444,-13.2344
13,Banjul,Gambie,13.4531,-16.5775
14,Bissau,Guinée-Bissau,11.85,-15.5667
15,Kinshasa,République démocratique du Congo,-4.325,15.3222
16,Niamey,Niger,13.5214,2.10528
17,Victoria,Seychelles,-4.6167,55.45
18,Conakry,Guinée,9.50917,-13.7
19,Malabo,Guinée équatoriale,3.75206,8.78333
20,Bangui,République centrafricaine,4.36667,18.5833
21,Maseru,Lesotho,-29.31,27.48
22,Luanda,Angola,-8.83833,13.2344
23,Libreville,Gabon,0.3901,9.4544
24,Asmara,Érythrée,15.3333,38.9333
25,Maputo,Mozambique,-25.9667,32.5833
26,Bujumbura,Burundi,-3.38333,29.3667
27,Accra,Ghana,5.55,-0.2
28,Cotonou,Bénin,6.36667,2.43333
29,Djibouti,Djibouti,11.5883,43.145
30,Lilongwe,Malawi,-13.9833,33.7833
31,Lomé,Togo,6.13194,1.22278
32,Brazzaville,République du Congo,-4.26778,15.2919
33,Kigali,Rwanda,-1.94389,30.0594
35,Mogadiscio,Somalie,2.03333,45.35
36,Addis-Abeba,Éthiopie,9.03,38.74
37,Djouba,Soudan du Sud,4.85,31.6
38,Jamestown (Sainte-Hélène),Sainte-Hélène,-15.9244,-5.71806
39,Dakar,Sénégal,14.6928,-17.4467
40,Khartoum,Soudan,15.6333,32.5333
41,Dodoma,Tanzanie,-6.17306,35.7419
42,Saint-Denis,La Réunion,-20.8789,55.4481
43,Nairobi,Kenya,-1.15,36.8167
44,Bloemfontein,Afrique du Sud,-29.1,26.2167
45,Mamoudzou,Mayotte,-12.7806,45.2278
46,Mbabane,Eswatini,-26.3167,31.1333
47,Gaborone,Botswana,-24.6581,25.9122
48,Harare,Zimbabwe,-17.8639,31.0297
49,Monrovia,Liberia,6.31333,-10.8
50,Abidjan,Côte d'Ivoire,5.31667,-4.03333
51,Rabat,Maroc,34.0333,-6.83333
52,Ouagadougou,Burkina Faso,12.3572,-1.53528
53,Moroni,Comores,-11.699,43.256
54,N'Djaména,Tchad,12.1131,15.0492
55,Le Caire,Égypte,30.0581,31.2289
56,Le Cap,Afrique du Sud,-33.9253,18.4239
57,Alger,Algérie,36.7667,3.21667
58,Porto-Novo,Bénin,6.49722,2.605
59,Las Palmas de Gran Canaria,Canaries,28.15,-15.4167
60,Yamoussoukro,Côte d'Ivoire,6.81667,-5.28333
61,Pretoria,Afrique du Sud,-25.7461,28.1881
