"",city,country,lat,lon
0,Beyrouth,Liban,33.8869,35.5131
1,Kuala Lumpur,Malaisie,3.13333,101.683
2,Douchanbé,Tadjikistan,38.5367,68.78
3,Hanoï,Viêt Nam,21.0285,105.854
4,Kotte,Sri Lanka,6.91083,79.8878
5,Naypyidaw,Birmanie,19.75,96.1
6,New Delhi,Inde,28.6139,77.2089
8,Malé,Maldives,4.17528,73.5089
9,Soukhoumi,Abkhazie,43.0,41.0167
10,Koweït,Koweït,29.3697,47.9783
12,Tskhinvali,Ossétie du Sud,42.2333,43.9667
13,Dacca,Bangladesh,23.7,90.3667
14,Damas,Syrie,33.5131,36.2919
15,Bichkek,Kirghizistan,42.8747,74.6122
16,Erevan,Arménie,40.1833,44.5167
17,Pékin,Chine,39.9064,116.38
18,Riyad,Arabie saoudite,24.6333,46.7167
19,Amman,Jordanie,31.9497,35.9328
20,Stepanakert,Haut-Karabagh,39.8153,46.7519
21,Taipei,Taïwan,25.0333,121.633
22,Manama,Bahreïn,26.2167,50.5833
23,Doha,Qatar,25.2867,51.5333
24,Achgabat,Turkménistan,37.9333,58.3667
25,Phnom Penh,Cambodge,11.55,104.917
26,Tachkent,Ouzbékistan,41.2667,69.2167
27,Jérusalem,Israël,31.7833,35.2167
28,Pyongyang,Corée du Nord,39.0194,125.738
29,Singapour,Singapour,1.28333,103.833
31,Téhéran,Iran,35.6961,51.4231
32,Moscou,Russie,55.7517,37.6178
33,Islamabad,Pakistan,33.7167,73.04
34,Delhi,Inde,28.61,77.23
35,Bandar Seri Begawan,Brunei,4.89028,114.942
36,Katmandou,Népal,27.7,85.3333
37,Tokyo,Japon,35.6833,139.683
38,Jakarta,Indonésie,-6.2,106.817
39,Séoul,Corée du Sud,37.5667,126.967
40,Kaboul,Afghanistan,34.5333,69.1667
41,Bagdad,Irak,33.3333,44.3833
42,Putrajaya,Malaisie,2.9431,101.699
43,Abou Dabi,Émirats arabes unis,24.4667,54.3667
44,Vientiane,Laos,17.9667,102.6
46,Tbilissi,Géorgie,41.7167,44.7833
47,Bangkok,Thaïlande,13.75,100.467
49,Astana,Kazakhstan,51.1667,71.4333
50,Thimphou,Bhoutan,27.4667,89.6417
51,Sanaa,Yémen,15.3483,44.2064
52,Ankara,Turquie,39.9333,32.864
53,Bakou,Azerbaïdjan,40.3953,49.8822
54,Oulan-Bator,Mongolie,47.92,106.92
55,Mascate,Oman,23.6,57.0
56,Dili,Timor oriental,-8.56667,125.567
