"",city,country,lat,lon
0,Mexico,Mexique,19.4333,-99.1333
1,Basseterre,Saint-Kitts-et-Nevis,17.3,-62.7333
2,Ottawa,Canada,45.4167,-75.6833
3,Guatemala,Guatemala,14.6521,-90.506
4,Hamilton,Bermudes,32.293,-64.782
5,Roseau,Dominique,15.3014,-61.3883
6,Charlotte Amalie,Îles Vierges américaines,18.35,-64.95
7,Tegucigalpa,Honduras,14.1,-87.2167
8,Kingston,Jamaïque,17.9833,-76.8
9,Managua,Nicaragua,12.1364,-86.2514
10,San Salvador,Salvador,13.69,-89.19
11,San José,Costa Rica,9.93333,-84.0833
12,La Havane,Cuba,23.1333,-82.3833
13,San Juan,Porto Rico,18.4064,-66.0639
14,Saint-Georges,Grenade,12.05,-61.75
15,Port-au-Prince,Haïti,18.5333,-72.3333
16,Washington DC,États-Unis,38.9047,-77.0164
17,Bridgetown,Barbade,13.1058,-59.6131
18,Road Town,Îles Vierges britanniques,18.4314,-64.6231
