"",city,country,lat,lon
0,La Paz,Bolivie,-16.5,-68.15
1,Port Stanley,Îles Malouines,-51.6944,-57.8528
2,Georgetown,Guyana,6.8,-58.1667
3,Bogota,Colombie,4.59806,-74.0758
4,Brasilia,Brésil,-15.7939,-47.8828
5,Quito,Équateur,-0.233333,-78.5167
6,Lima,Pérou,-12.0433,-77.0283
7,Buenos Aires,Argentine,-34.6033,-58.3817
8,Santiago,Chili,-33.45,-70.6667
9,Paramaribo,Suriname,5.86667,-55.1667
10,Asuncion,Paraguay,-25.2667,-57.6333
11,Caracas,Venezuela,10.5,-66.9167
12,Montevideo,Uruguay,-34.8836,-56.1819
