,x,name,lon,lat
0,http://fr.dbpedia.org/resource/Église_Sainte-Agnès_d'Amsterdam,Église Sainte-Agnès d'Amsterdam,4.85778,52.35
1,http://fr.dbpedia.org/resource/Zuiderkerk_d'Amsterdam,Zuiderkerk d'Amsterdam,4.89972,52.37
2,http://fr.dbpedia.org/resource/Ons'_Lieve_Heer_op_Solder,Ons' Lieve Heer op Solder,4.89936,52.3751
3,http://fr.dbpedia.org/resource/Gare_d'Amsterdam-Central,Gare d'Amsterdam-Central,4.90029,52.379
4,http://fr.dbpedia.org/resource/Tropenmuseum,Tropenmuseum,4.92111,52.3625
5,http://fr.dbpedia.org/resource/Vieille_église_d'Amsterdam,Vieille église d'Amsterdam,4.89816,52.3743
6,http://fr.dbpedia.org/resource/Église_Saint-Nicolas_d'Amsterdam,Église Saint-Nicolas d'Amsterdam,4.90111,52.3765
7,http://fr.dbpedia.org/resource/Église_Moïse-et-Aaron,Église Moïse-et-Aaron,4.90368,52.369
8,http://fr.dbpedia.org/resource/Sloterpark,Sloterpark,4.86667,52.3583
9,http://fr.dbpedia.org/resource/Nouvelle_église_d'Amsterdam,Nouvelle église d'Amsterdam,4.89175,52.3739
10,http://fr.dbpedia.org/resource/Vondelpark,Vondelpark,4.86667,52.3583
11,http://fr.dbpedia.org/resource/Nieuwe_Amstelbrug,Nieuwe Amstelbrug,4.9,52.35
12,http://fr.dbpedia.org/resource/Pont_Berlage,Pont Berlage,4.91203,52.3472
