,x,name,lon,lat
0,http://fr.dbpedia.org/resource/Cathédrale_Sainte-Marie_de_Tokyo,Cathédrale Sainte-Marie de Tokyo,139.0,35.7142
1,http://fr.dbpedia.org/resource/Musée_national_de_Tokyo,Musée national de Tokyo,139.776,35.7189
2,http://fr.dbpedia.org/resource/Rainbow_Bridge_(Tokyo),Rainbow Bridge (Tokyo),139.763,35.6367
3,http://fr.dbpedia.org/resource/Tokyo_Gate_Bridge,Tokyo Gate Bridge,139.827,35.6114
4,http://fr.dbpedia.org/resource/Centre_national_des_Arts_de_Tokyo,Centre national des Arts de Tokyo,139.726,35.6653
5,http://fr.dbpedia.org/resource/Cimetière_d'Aoyama,Cimetière d'Aoyama,139.722,35.666
6,http://fr.dbpedia.org/resource/Musée_Gotoh,Musée Gotoh,139.635,35.6122
7,http://fr.dbpedia.org/resource/Musée_national_de_l'art_occidental,Musée national de l'art occidental,139.776,35.7156
8,http://fr.dbpedia.org/resource/Musée_de_Shitamachi,Musée de Shitamachi,139.773,35.7102
9,http://fr.dbpedia.org/resource/Yūshūkan,Yūshūkan,139.444,35.4143
10,http://fr.dbpedia.org/resource/Takagi_Bonsai_Museum,Takagi Bonsai Museum,139.772,35.7031
11,http://fr.dbpedia.org/resource/Cimetière_national_de_Chidorigafuchi,Cimetière national de Chidorigafuchi,139.747,35.69
12,http://fr.dbpedia.org/resource/Musée_national_de_la_nature_et_des_sciences_de_Tokyo,Musée national de la nature et des sciences de Tokyo,139.777,35.7159
13,http://fr.dbpedia.org/resource/Meiji-jingū,Meiji-jingū,139.699,35.6761
14,http://fr.dbpedia.org/resource/Sensō-ji,Sensō-ji,139.797,35.7148
15,http://fr.dbpedia.org/resource/Zenyōmitsu-ji,Zenyōmitsu-ji,139.642,35.6016
16,http://fr.dbpedia.org/resource/Université_Sophia,Université Sophia,139.732,35.6841
17,http://fr.dbpedia.org/resource/Yasukuni-jinja,Yasukuni-jinja,139.743,35.6942
18,http://fr.dbpedia.org/resource/Kanda-myōjin,Kanda-myōjin,139.768,35.7019
19,http://fr.dbpedia.org/resource/Kasai-jinja,Kasai-jinja,139.882,35.7681
