,city,classification,type,admin,lng,lat
0,Abondance,0,Fromage,Rhône-Alpes,6.4642346880287995,46.04511005056401
1,Banon,0,Fromage,Provence-Alpes-Côte d'Azur,5.886612585961873,44.17496656661876
2,Beaufort,0,Fromage,Rhône-Alpes,6.509076616560625,45.50935585480626
3,Bleu d'Auvergne,0,Fromage,Auvergne,2.9476437856194737,45.1740824883921
4,Bleu de Gex,0,Fromage,Rhône-Alpes,5.824868544093077,46.336614046507705
5,Bleu des Causses,0,Fromage,Midi-Pyrénées,2.6740896028313053,44.37441595583262
6,Bleu du Vercors-Sassenage,0,Fromage,Rhône-Alpes,5.2954797814450005,44.9228836635
7,Brie de Meaux,0,Fromage,Champagne-Ardenne,3.3432508553613487,48.70342212160675
8,Brie de Melun,0,Fromage,Champagne-Ardenne,2.9836462610043246,48.6057167875135
9,Brocciu,0,Fromage,Corse,9.14601576363,42.527863752100004
10,Brousse du Rove,0,Fromage,Provence-Alpes-Côte d'Azur,5.489331422456668,43.494200408066675
11,Camembert,0,Fromage,Basse-Normandie,-0.5234734740260448,48.95005905462236
12,Cantal,0,Fromage,Auvergne,2.886211255711,45.34679546053668
13,Chabichou,0,Fromage,Poitou-Charentes,0.07821368564020714,46.39771030210715
14,Chaource,0,Fromage,Champagne-Ardenne,3.8842429703846153,48.15914837965386
15,Charolais,0,Fromage,Auvergne,4.2252084620279176,46.48872375945
16,Chavignol,0,Fromage,Centre,2.64925612437,47.24277578127778
17,Chevrotin,0,Fromage,Rhône-Alpes,6.423176691477141,45.951462825785725
18,Comté,0,Fromage,Rhône-Alpes,6.012493475927113,46.843067089157714
19,Epoisses,0,Fromage,Bourgogne,4.652087112999091,47.444994574127286
20,Fourme d'Ambert,0,Fromage,Auvergne,3.1763485851554165,45.64073089147916
21,Fourme de Montbrison,0,Fromage,Rhône-Alpes,3.7865914440750004,45.76559386214999
22,Laguiole,0,Fromage,Midi-Pyrénées,3.050941413499092,44.67483581488183
23,Langres,0,Fromage,Champagne-Ardenne,5.350264744551666,47.86463081668334
24,Livarot,0,Fromage,Basse-Normandie,0.23147413138822384,49.09213859699091
25,Maroilles,0,Fromage,Picardie,3.864706688809999,49.94371460471818
26,Mont d'Or,0,Fromage,Franche-Comté,6.480546773479168,46.96768657891668
27,Morbier,0,Fromage,Franche-Comté,6.053214145071385,46.906221341301006
28,Munster,0,Fromage,Alsace,6.707679867284443,48.156234906024075
29,Neufchâtel,0,Fromage,Haute-Normandie,1.5358503180688892,49.58085496274445
30,Ossau-Iraty,0,Fromage,Aquitaine,-0.9518866440880002,43.37155255413333
31,Pélardon,0,Fromage,Languedoc-Roussillon,3.6853683233732433,43.935531294335135
32,Picodon,0,Fromage,Rhône-Alpes,4.869157013417254,44.65793952634511
33,Pont-l'Évêque,0,Fromage,Basse-Normandie,-0.5541604388209106,48.94294867253333
34,Reblochon de Savoie,0,Fromage,Rhône-Alpes,6.466003398707309,46.03852256944617
35,Rigotte de Condrieu,0,Fromage,Rhône-Alpes,4.5963735837,45.4231203599
36,Rocamadour,0,Fromage,Midi-Pyrénées,1.4796436140257143,44.729961423435725
37,Roquefort,0,Fromage,Languedoc-Roussillon,2.8276313944942864,43.97977650931609
38,Sainte-Maure de Touraine,0,Fromage,Centre,0.7762948810071002,47.25055645497334
39,Saint-Nectaire,0,Fromage,Auvergne,3.0020455857186366,45.49891537972273
40,Salers,0,Fromage,Auvergne,2.65762566782,45.2773189364909
41,Selles-sur-Cher,0,Fromage,Centre,1.6932758323766668,47.16404917026668
42,Tome des Bauges,0,Fromage,Rhône-Alpes,6.095882745271427,45.66762569094286
