,city,classification,type,admin,lng,lat
0,Vin d'Anjou,1.0,Vin,Pays de la Loire,-0.5444628980837812,47.25873460593125
1,Anjou Brissac,1.0,Vin,Pays de la Loire,-0.484584915233,47.40011602
2,Anjou Villages,1.0,Vin,Pays de la Loire,-0.6200896587868,47.27239780231999
3,Anjou gamay,1.0,Vin,Pays de la Loire,-0.7118093691769285,47.308145512721424
4,Anjou-Coteaux de la Loire,1.0,Vin,Pays de la Loire,-0.8166864308374999,47.3754013736
5,Arbois,0.0,Vin,Franche-Comté,5.796378432279999,46.91686188325
6,Bandol,0.0,Vin,Provence-Alpes-Côte d'Azur,5.770170653516666,43.2126084502
7,Beaujolais,0.0,Vin,Rhône-Alpes,4.600285340116667,46.014536738983345
8,Beaujolais La Chapelle-de-Guinchay,1.0,Vin,Bourgogne,4.7607553867400005,46.2183395706
9,Beaujolais Le Perréon,1.0,Vin,Rhône-Alpes,4.58011470441,46.069613382200004
10,Beaujolais Les Ardillats,1.0,Vin,Rhône-Alpes,4.53644652924,46.188747563199996
11,Beaujolais Villages,1.0,Vin,Rhône-Alpes,4.6257722067966665,46.158900171999996
12,Beaumes de Venise,0.0,Vin,Provence-Alpes-Côte d'Azur,5.06883398959,44.144844139300005
13,Bergerac,1.0,Vin,Aquitaine,0.3362349461673333,44.913596777266676
14,Hautes Côtes de Beaune,1.0,Vin,Bourgogne,4.67620707547,46.9575762678
15,Hautes Côtes de Nuits,1.0,Vin,Bourgogne,4.8760250024900005,47.1826265714
16,Bourgogne Passe-tout-grains,1.0,Vin,Bourgogne,4.631632771902856,46.455455316321434
17,Bourgogne aligoté,0.0,Vin,Bourgogne,4.666878016964444,46.72305484057778
18,Bourgogne mousseux,1.0,Vin,Bourgogne,4.631632771902856,46.455455316321434
19,Bourgueil,1.0,Vin,Centre,0.215361451048,47.250958732700006
20,Bugey,1.0,Vin,Rhône-Alpes,5.42801696363,46.009187877600006
21,Bugey Cerdon,1.0,Vin,Rhône-Alpes,5.42801696363,46.009187877600006
22,Béarn,1.0,Vin,Aquitaine,-0.853283494968,43.441442284
23,Cabardès,1.0,Vin,Languedoc-Roussillon,2.37506698668,43.358319448500005
24,Cadillac,1.0,Vin,Aquitaine,-0.397019832374,44.71728104899999
25,Cahors,0.0,Vin,Midi-Pyrénées,1.1472613313,44.4210869463
26,Chablis,0.0,Vin,Bourgogne,3.76931059079,47.8433599438
27,Champagne,0.0,Vin,Picardie,3.897491567021613,48.87163584617098
28,Cheverny,1.0,Vin,Centre,1.3044545593999999,47.5035507545
29,Chinon,1.0,Vin,Centre,0.318297609774,47.125459835550004
30,Chénas,1.0,Vin,Bourgogne,4.7607553867400005,46.2183395706
31,Corbières,0.0,Vin,Languedoc-Roussillon,2.99265326968,42.9660377916
32,Corrèze vin de paille,1.0,Vin,Limousin,1.71908951558,44.9831181613
33,Costières de Nîmes,0.0,Vin,Languedoc-Roussillon,4.24246060862,43.658597596099995
34,Coteaux Bourguignons,1.0,Vin,Bourgogne,4.631632771902856,46.455455316321434
35,Coteaux champenois,1.0,Vin,Picardie,3.897491567021613,48.87163584617098
36,Coteaux d'Aix-en-Provence,1.0,Vin,Provence-Alpes-Côte d'Azur,5.164523065395,43.642617830175006
37,Coteaux d'Ancenis,1.0,Vin,Pays de la Loire,-1.2416085389433331,47.32715235026666
38,Coteaux de Saumur,1.0,Vin,Pays de la Loire,-0.1665105909233,47.1457093249
39,Coteaux de l'Aubance,1.0,Vin,Pays de la Loire,-0.484584915233,47.40011602
40,Coteaux du Giennois,1.0,Vin,Bourgogne,2.93434517824,47.4852979363
41,Coteaux du Layon,1.0,Vin,Pays de la Loire,-0.4890251440863334,47.2037287548
42,Coteaux du Loir,1.0,Vin,Pays de la Loire,0.5820422063390001,47.730368641700004
43,Coteaux du Lyonnais,1.0,Vin,Rhône-Alpes,4.7123892929,45.8104377668
44,Coteaux du Quercy,1.0,Vin,Midi-Pyrénées,1.4548791676100001,44.3804715298
45,Coteaux du Vendômois,1.0,Vin,Centre,0.800216357559,47.75922947915
46,Coteaux varois en Provence,1.0,Vin,Provence-Alpes-Côte d'Azur,6.011450308093335,43.38893316486668
47,Crozes-Hermitage,0.0,Vin,Rhône-Alpes,4.85709493142,45.018656471099995
48,Crémant de Bordeaux,0.0,Vin,Aquitaine,-0.2783144136210704,44.85690134567082
49,Crémant de Bourgogne,0.0,Vin,Bourgogne,4.631632771902856,46.455455316321434
50,Crémant de Limoux,0.0,Vin,Languedoc-Roussillon,2.1714951084966665,43.016585808
51,Crémant de Loire,0.0,Vin,Centre,-0.2965112363180217,47.249147646747815
52,Crémant du Jura,0.0,Vin,Franche-Comté,5.604826555926364,46.76261720309999
53,Côte roannaise,1.0,Vin,Rhône-Alpes,3.859132578945,46.17911361705
54,Côtes d'Auvergne,1.0,Vin,Auvergne,3.171739775138,45.688992107980006
55,Côtes de Bergerac,1.0,Vin,Aquitaine,0.3362349461673333,44.913596777266676
56,Côtes de Bordeaux Cadillac,1.0,Vin,Aquitaine,-0.397019832374,44.71728104899999
