,url,name,lon,lat,altitude,range,category,group,short_name,hint
0,http://fr.dbpedia.org/resource/Col_de_Jambaz,Col de Jambaz,6.52028,46.2347,1027.0,Chablais,col,3,Col de Jambaz,Chablais
1,http://fr.dbpedia.org/resource/Col_de_Gleize,Col de Gleize,6.04806,44.6222,1696.0,Dévoluy,col,3,Col de Gleize,Dévoluy
2,http://fr.dbpedia.org/resource/Col_Infranchissable,Col Infranchissable,6.80833,45.8125,3349.0,Mont-Blanc,col,3,Col Infranchissable,Mont-Blanc
3,http://fr.dbpedia.org/resource/Col_de_Miage,Col de Miage,6.81111,45.8244,3367.0,Mont-Blanc,col,3,Col de Miage,Mont-Blanc
4,http://fr.dbpedia.org/resource/Col_de_Freissinières,Col de Freissinières,6.35361,44.7375,2782.0,Écrins,col,3,Col de Freissinières,Écrins
5,http://fr.dbpedia.org/resource/Col_de_Mens,Col de Mens,5.77167,44.7603,1111.0,Dévoluy,col,3,Col de Mens,Dévoluy
6,http://fr.dbpedia.org/resource/Col_de_Menée,Col de Menée,5.60361,44.7578,1457.0,Diois,col,3,Col de Menée,Diois
7,http://fr.dbpedia.org/resource/Col_de_Palaquit,Col de Palaquit,5.76556,45.2728,1154.0,Chartreuse,col,3,Col de Palaquit,Chartreuse
8,http://fr.dbpedia.org/resource/Col_de_la_Ramaz,Col de la Ramaz,6.57472,46.1633,1559.0,Chablais,col,3,Col de la Ramaz,Chablais
9,http://fr.dbpedia.org/resource/Col_du_Feu,Col du Feu,6.50889,46.2944,1120.0,Chablais,col,3,Col du Feu,Chablais
10,http://fr.dbpedia.org/resource/Col_du_Géant,Col du Géant,6.93472,45.8489,3365.0,Mont-Blanc,col,3,Col du Géant,Mont-Blanc
11,http://fr.dbpedia.org/resource/Col_du_Pointu,Col du Pointu,5.35111,43.8356,499.0,Luberon,col,3,Col du Pointu,Luberon
12,http://fr.dbpedia.org/resource/Col_Clapier,Col Clapier,6.92278,45.1669,2477.0,Mont-Cenis,col,3,Col Clapier,Mont-Cenis
13,http://fr.dbpedia.org/resource/Col_de_Bornette,Col de Bornette,6.18528,45.7328,1304.0,Bauges,col,3,Col de Bornette,Bauges
14,http://fr.dbpedia.org/resource/Col_de_la_Rochette_(Alpes),Col de la Rochette,5.29417,44.9778,1009.0,Vercors,col,3,Col de la Rochette,Vercors
15,http://fr.dbpedia.org/resource/Col_des_Ayes,Col des Ayes,5.8425,45.3103,1538.0,Chartreuse,col,3,Col des Ayes,Chartreuse
16,http://fr.dbpedia.org/resource/Col_du_Jandri,Col du Jandri,6.20306,44.9983,3150.0,Écrins,col,3,Col du Jandri,Écrins
17,http://fr.dbpedia.org/resource/Golet_de_Doucy,Golet de Doucy,6.17722,45.7175,1329.0,Bauges,col,3,Golet de Doucy,Bauges
18,http://fr.dbpedia.org/resource/Col_de_Leschaux,Col de Leschaux,6.13167,45.7719,897.0,Bauges,col,3,Col de Leschaux,Bauges
19,http://fr.dbpedia.org/resource/Col_du_Grapillon,Col du Grapillon,5.84167,45.4628,1509.0,Chartreuse,col,3,Col du Grapillon,Chartreuse
20,http://fr.dbpedia.org/resource/Col_Agnel,Col Agnel,6.9794,44.6842,2744.0,Escreins,col,3,Col Agnel,Escreins
21,http://fr.dbpedia.org/resource/Col_d'Izoard,Col d'Izoard,6.73526,44.8196,2361.0,Queyras,col,0,Col d'Izoard,Queyras
22,http://fr.dbpedia.org/resource/Col_de_l'Iseran,Col de l'Iseran,7.03146,45.4173,2764.0,Vanoise,col,0,Col de l'Iseran,Vanoise
23,http://fr.dbpedia.org/resource/Col_de_la_Bonette,Col de la Bonette,6.807,44.327,2715.0,Mercantour,col,3,Col de la Bonette,Mercantour
24,http://fr.dbpedia.org/resource/Col_d'Anterne,Col d'Anterne,6.79639,45.9803,2257.0,Giffre,col,3,Col d'Anterne,Giffre
25,http://fr.dbpedia.org/resource/Col_du_Lautaret,Col du Lautaret,6.4055,45.0353,2058.0,Écrins,col,0,Col du Lautaret,Écrins
26,http://fr.dbpedia.org/resource/Col_d'Èze,Col d'Èze,7.34667,43.7339,507.0,Préalpes de Nice,col,3,Col d'Èze,Préalpes de Nice
27,http://fr.dbpedia.org/resource/Col_d'Allos,Col d'Allos,6.59417,44.2972,2247.0,Trois-Évêchés,col,1,Col d'Allos,Trois-Évêchés
28,http://fr.dbpedia.org/resource/Col_de_Larche,Col de Larche,6.8985,44.4218,1194.0,Chambeyron,col,0,Col de Larche,Chambeyron
29,http://fr.dbpedia.org/resource/Col_de_Montgenèvre,Col de Montgenèvre,6.72333,44.9308,1850.0,Queyras,col,0,Col de Montgenèvre,Queyras
30,http://fr.dbpedia.org/resource/Col_de_Tende,Col de Tende,7.56197,44.1492,1871.0,Alpes ligures,col,0,Col de Tende,Alpes ligures
31,http://fr.dbpedia.org/resource/Col_de_Vars,Col de Vars,6.70278,44.5392,2108.0,Parpaillon,col,0,Col de Vars,Parpaillon
32,http://fr.dbpedia.org/resource/Col_de_la_Cayolle,Col de la Cayolle,6.74389,44.2589,2326.0,Pelat,col,3,Col de la Cayolle,Pelat
33,http://fr.dbpedia.org/resource/Col_du_Parpaillon,Col du Parpaillon,6.64611,44.4883,2783.0,Parpaillon,col,2,Col du Parpaillon,Parpaillon
34,http://fr.dbpedia.org/resource/Cormet_de_Roselend,Cormet de Roselend,6.69065,45.6912,1968.0,Mont-Blanc,col,3,Cormet de Roselend,Mont-Blanc
35,http://fr.dbpedia.org/resource/Col_de_la_Leisse,Col de la Leisse,6.90806,45.4247,2761.0,Vanoise,col,3,Col de la Leisse,Vanoise
36,http://fr.dbpedia.org/resource/Col_de_Moissière,Col de Moissière,6.2204,44.6014,1571.0,Écrins,col,3,Col de Moissière,Écrins
37,http://fr.dbpedia.org/resource/Col_de_Cou_(Vallée_Verte),Col de Cou (Vallée Verte),6.45444,46.2622,1117.0,Chablais,col,3,Col de Cou,Chablais
38,http://fr.dbpedia.org/resource/Col_de_Foron,Col de Foron,6.59,46.1811,1832.0,Chablais,col,3,Col de Foron,Chablais
39,http://fr.dbpedia.org/resource/Col_de_Terramont,Col de Terramont,6.49056,46.2469,1096.0,Chablais,col,3,Col de Terramont,Chablais
40,http://fr.dbpedia.org/resource/Col_de_Vence_(Isère),Col de Vence (Isère),5.75083,45.2358,782.0,Chartreuse,col,3,Col de Vence,Chartreuse
41,http://fr.dbpedia.org/resource/Col_des_Robines,Col des Robines,6.49333,43.9614,988.0,Trois-Évêchés,col,3,Col des Robines,Trois-Évêchés
42,http://fr.dbpedia.org/resource/Col_des_Grandes_Jorasses,Col des Grandes Jorasses,6.97389,45.8678,3825.0,Mont-Blanc,col,3,Col des Grandes Jorasses,Mont-Blanc
43,http://fr.dbpedia.org/resource/Col_de_Corobin,Col de Corobin,6.32024,44.0079,1230.0,Trois-Évêchés,col,3,Col de Corobin,Trois-Évêchés
44,http://fr.dbpedia.org/resource/Col_de_Luens,Col de Luens,6.5873,43.8186,1054.0,Préalpes de Castellane,col,3,Col de Luens,Préalpes de Castellane
45,http://fr.dbpedia.org/resource/Col_de_Montfuron,Col de Montfuron,5.6975,43.8442,649.0,Luberon,col,1,Col de Montfuron,Luberon
46,http://fr.dbpedia.org/resource/Col_du_Pilon,Col du Pilon,6.88291,43.6852,780.0,Préalpes de Castellane,col,3,Col du Pilon,Préalpes de Castellane
47,http://fr.dbpedia.org/resource/Pas_de_la_Faye,Pas de la Faye,6.8376,43.7114,981.0,Préalpes de Castellane,col,3,Pas de la Faye,Préalpes de Castellane
48,http://fr.dbpedia.org/resource/Col_de_la_Placette,Col de la Placette,5.65833,45.3297,587.0,Chartreuse,col,3,Col de la Placette,Chartreuse
49,http://fr.dbpedia.org/resource/Col_des_Égaux,Col des Égaux,5.81167,45.4442,958.0,Chartreuse,col,3,Col des Égaux,Chartreuse
