name,lat,lon,lines
Alfred de Vigny,45.6995061676045,4.93643725677875,T2
Ambroise Paré,45.7416355478135,4.88437479536775,"T2, T5"
Ampère Victor Hugo,45.75289997961467,4.829150739248667,A
Archives Departementales,45.75420960612775,4.8622066145155,T4
Bachut - Mairie du 8ème,45.73655591993733,4.869113319791333,T2
Beauvisage - Pressensé,45.7278161850425,4.862391145841,T6
Beauvisage CISL,45.7296613229045,4.867158814490833,"T4, T6"
Bel Air - Les Brosses,45.7583167331855,4.910075094422751,T3
Bellecour,45.75711772529125,4.83346706752475,"A, D"
Boutasse - C. Rousset,45.73472044772325,4.904256376831,"T2, T5"
Bron Hôtel de Ville,45.733513550499495,4.9088594025350005,"T2, T5"
Brotteaux,45.76682966824425,4.859314555507,B
Centre Berthelot,45.74704849148,4.8363350258975,T2
Challemel Lacour Artill.,45.729635003849,4.84352624074325,T6
Charpennes,45.77062200534317,4.8629966985495,"A, B, T1, T4"
Collège Bellecombe,45.7661369579255,4.86245531349075,"T1, T4"
Condorcet,45.7783289687032,4.866861757135,"T1, T4"
Cordeliers,45.7634197547488,4.8367540769512,A
Cordière,45.693655446662,4.9497411237235,T2
Croix Paquet,45.7709433306005,4.8362383602075,C
Croix-Luizet,45.7836753767915,4.883128199354999,T1
Croix-Rousse,45.77456678026155,4.832345750819778,C
Croizat - Paul Bert,45.700260773632856,4.887861053953571,T4
Cuire,45.785790913626855,4.833249806508571,C
Cusset,45.76625520385125,4.90101634260825,A
Darnaise,45.692649297817,4.8643166428975,T4
Dauphiné -Lacassagne,45.75292436801167,4.868921909902666,T3
De Tassigny - Curial,45.73644999986372,4.916836059464857,T5
Debourg,45.73137037303312,4.834593284565,"B, T1, T6"
Desgenettes,45.73920059842,4.892842799033749,"T2, T5, T6"
Division Leclerc,45.698415277249495,4.8682059908755,T4
Décines Centre,45.77118394869101,4.956329516635,"T3, T7"
Décines Grand Large,45.774744886053,4.9757656951575,"T3, T7"
Décines OL Vallée,45.76826069949266,4.98123569049,T7
ENS Lyon,45.731455042923,4.8294405535855,T1
Esplanade des Arts,45.694354577416,4.940703652708167,T2
Essarts - Iris,45.73723491064701,4.898138123429,"T2, T5"
Essarts - Laennec,45.73553452188,4.889969987082,T6
Etats-Unis Tony Garnier,45.7332234673305,4.86462346807025,T4
Etats-Unis Viviani,45.72501881216,4.87098611929475,T4
Eurexpo Entrée Princ.,45.73177886145567,4.948400397449333,T5
Europe - Université,45.719627580357,4.918158705584,T2
Flachet,45.76788351088575,4.8896715963855,A
Foch,45.768728761055,4.8441896732515,A
Fourvière,45.762108827525,4.82138703295,F2
Gare Part-Dieu V.Merle,45.76161123625676,4.857751510043353,"B, T1"
Gare Part-Dieu Villette,45.76073337041221,4.8620992964876,"T3, T4"
Gare d'Oullins,45.71657666941577,4.814890915030615,B
Gare de Vaise,45.78070046468569,4.804655676087632,D
Gare de Villeurbanne,45.755837597554745,4.891645842728,T3
Gare de Vénissieux,45.70596191845714,4.8880873734055,"D, T4"
Garibaldi,45.751426085686,4.854206535802,D
Garibaldi - Berthelot,45.743586352754505,4.84711955705975,T2
Gorge de Loup,45.76650937316301,4.804837725476889,D
Grange Blanche,45.7428074026628,4.879085978644533,"D, T2, T5"
Grange Rouge - Santy,45.73144074102834,4.873538670958333,T6
Gratte Ciel,45.7690728824928,4.8817394338684,A
Guillotière Gabriel Péri,45.755344362151575,4.842659319745572,"D, T1"
Halle Tony Garnier,45.731567351163335,4.824414023704,T1
Hauts de Feuilly,45.7081141253915,4.9375855345855,T2
Herriot - Cagne,45.69376457355701,4.87549494157875,T4
