com_id,reg_id,region,dep_id,arr_id,can_id,name,population,lat,lon,group
33063,75,Nouvelle-Aquitaine,33,2,97,Bordeaux,263247,44.8572445351,-0.57369678116,0
87085,75,Nouvelle-Aquitaine,87,2,99,Limoges,132768,45.8542549589,1.2487579024,0
86194,75,Nouvelle-Aquitaine,86,3,99,Poitiers,92296,46.5839207726,0.359947653003,0
17300,75,Nouvelle-Aquitaine,17,3,99,La Rochelle,79323,46.1620643972,-1.17465702836,0
64445,75,Nouvelle-Aquitaine,64,3,99,Pau,77061,43.3200189773,-0.350337918181,0
33281,75,Nouvelle-Aquitaine,33,2,98,Mérignac,74775,44.8322953289,-0.681733084891,0
33318,75,Nouvelle-Aquitaine,33,2,99,Pessac,66606,44.7915990521,-0.676303166277,0
79191,75,Nouvelle-Aquitaine,79,2,99,Niort,60845,46.328260242,-0.465353019369,0
64102,75,Nouvelle-Aquitaine,64,1,97,Bayonne,53296,43.4922254016,-1.46607674358,0
19031,75,Nouvelle-Aquitaine,19,1,99,Brive-la-Gaillarde,47175,45.1435830664,1.51936836063,0
33522,75,Nouvelle-Aquitaine,33,2,31,Talence,45355,44.8060817507,-0.591124592873,0
16015,75,Nouvelle-Aquitaine,16,1,98,Angoulême,43079,45.6472585146,0.14514490683,0
64024,75,Nouvelle-Aquitaine,64,1,96,Anglet,41388,43.4917846595,-1.51623373371,0
33550,75,Nouvelle-Aquitaine,33,2,33,Villenave-d'Ornon,38696,44.773185218,-0.558212256384,0
47001,75,Nouvelle-Aquitaine,47,1,97,Agen,33046,44.2028139104,0.625583928763,0
33449,75,Nouvelle-Aquitaine,33,2,28,Saint-Médard-en-Jalles,32866,44.8832620816,-0.784239883546,0
86066,75,Nouvelle-Aquitaine,86,1,98,Châtellerault,32345,46.8156700185,0.552598976936,0
40192,75,Nouvelle-Aquitaine,40,2,99,Mont-de-Marsan,31366,43.899361404,-0.490722577455,0
33039,75,Nouvelle-Aquitaine,33,2,96,Bègles,30890,44.8016009051,-0.547755768448,0
24322,75,Nouvelle-Aquitaine,24,3,99,Périgueux,30823,45.1918704873,0.711825549847,0
24037,75,Nouvelle-Aquitaine,24,1,98,Bergerac,27101,44.8543751872,0.486529423457,0
17415,75,Nouvelle-Aquitaine,17,4,20,Saintes,26814,45.7422300162,-0.649623035643,0
33529,75,Nouvelle-Aquitaine,33,6,32,La Teste-de-Buch,26648,44.5561823053,-1.17530826791,0
64122,75,Nouvelle-Aquitaine,64,1,7,Biarritz,26583,43.4695847227,-1.55309857519,0
33119,75,Nouvelle-Aquitaine,33,2,9,Cenon,26278,44.8548325665,-0.521018807062,0
33192,75,Nouvelle-Aquitaine,33,2,24,Gradignan,26208,44.7709411201,-0.616137682116,0
33243,75,Nouvelle-Aquitaine,33,5,16,Libourne,24941,44.9130767869,-0.234709332068,0
33162,75,Nouvelle-Aquitaine,33,2,25,Eysines,24483,44.8797152377,-0.647899474657,0
33069,75,Nouvelle-Aquitaine,33,2,7,Le Bouscat,24288,44.8661298323,-0.602121558626,0
17299,75,Nouvelle-Aquitaine,17,2,13,Rochefort,24042,45.9432344536,-0.972356445692,0
33249,75,Nouvelle-Aquitaine,33,2,17,Lormont,23231,44.8765972567,-0.519774925453,1
