com_id,reg_id,region,dep_id,arr_id,can_id,name,population,lat,lon,group
69381,84,Auvergne-Rhône-Alpes,69,1,0,Lyon,528633,45.7699284397,4.82922464978,0
42218,84,Auvergne-Rhône-Alpes,42,3,99,Saint-Étienne,176016,45.4301235512,4.37913997076,0
38185,84,Auvergne-Rhône-Alpes,38,1,98,Grenoble,160483,45.1821215167,5.72133051752,0
69266,84,Auvergne-Rhône-Alpes,69,1,0,Villeurbanne,155858,45.7707704179,4.88845817426,0
63113,84,Auvergne-Rhône-Alpes,63,2,99,Clermont-Ferrand,149898,45.7856492991,3.11554542903,0
74010,84,Auvergne-Rhône-Alpes,74,1,99,Annecy,134942,45.8906432566,6.12551773598,0
69259,84,Auvergne-Rhône-Alpes,69,1,0,Vénissieux,67017,45.7037728826,4.88137668221,0
26362,84,Auvergne-Rhône-Alpes,26,3,99,Valence,65709,44.9229811667,4.91444013136,0
73065,84,Auvergne-Rhône-Alpes,73,2,99,Chambéry,60749,45.583182552,5.90903392417,0
69256,84,Auvergne-Rhône-Alpes,69,1,0,Vaulx-en-Velin,51990,45.7858821061,4.92637767698,0
69290,84,Auvergne-Rhône-Alpes,69,1,0,Saint-Priest,48612,45.701466556,4.94882071665,0
69034,84,Auvergne-Rhône-Alpes,69,1,0,Caluire-et-Cuire,43929,45.7974053648,4.85124857101,0
1053,84,Auvergne-Rhône-Alpes,1,2,99,Bourg-en-Bresse,43363,46.2051520382,5.24602125501,0
69029,84,Auvergne-Rhône-Alpes,69,1,0,Bron,42819,45.7344856902,4.91168159471,0
26198,84,Auvergne-Rhône-Alpes,26,2,97,Montélimar,40969,44.5540845734,4.74869387765,0
38421,84,Auvergne-Rhône-Alpes,38,1,22,Saint-Martin-d'Hères,38455,45.1762012553,5.76476360737,0
74012,84,Auvergne-Rhône-Alpes,74,3,4,Annemasse,37859,46.1909730986,6.24250704322,0
74281,84,Auvergne-Rhône-Alpes,74,4,17,Thonon-les-Bains,37732,46.3704258049,6.48194336071,0
38151,84,Auvergne-Rhône-Alpes,38,1,5,Échirolles,37181,45.1471647181,5.71535600177,0
69264,84,Auvergne-Rhône-Alpes,69,2,13,Villefranche-sur-Saône,36419,45.9874596667,4.73174007305,0
42207,84,Auvergne-Rhône-Alpes,42,3,13,Saint-Chamond,35697,45.4698319517,4.50184989506,0
69282,84,Auvergne-Rhône-Alpes,69,1,0,Meyzieu,35468,45.7770899686,5.00632679347,0
42187,84,Auvergne-Rhône-Alpes,42,2,98,Roanne,35152,46.0449112487,4.0797045647,0
3185,84,Auvergne-Rhône-Alpes,3,1,97,Montluçon,34868,46.3385883496,2.60390499777,0
26281,84,Auvergne-Rhône-Alpes,26,3,98,Romans-sur-Isère,33486,45.0547531985,5.03797756012,0
73008,84,Auvergne-Rhône-Alpes,73,2,97,Aix-les-Bains,31642,45.6978541675,5.90388626955,0
69286,84,Auvergne-Rhône-Alpes,69,1,0,Rillieux-la-Pape,31210,45.8205988109,4.89822639815,0
38544,84,Auvergne-Rhône-Alpes,38,3,99,Vienne,30401,45.520578372,4.88135156154,0
38053,84,Auvergne-Rhône-Alpes,38,2,2,Bourgoin-Jallieu,30011,45.6022027954,5.27393762111,0
69275,84,Auvergne-Rhône-Alpes,69,1,0,Décines-Charpieu,29063,45.7717277447,4.96142704635,0
15014,84,Auvergne-Rhône-Alpes,15,1,98,Aurillac,26973,44.9245233686,2.44162453828,0
3310,84,Auvergne-Rhône-Alpes,3,3,99,Vichy,25680,46.1300051383,3.42442081174,0
38169,84,Auvergne-Rhône-Alpes,38,1,97,Fontaine,23295,45.1930502486,5.67763066542,1
1283,84,Auvergne-Rhône-Alpes,1,4,15,Oyonnax,22724,46.2605435859,5.65344320923,0
38563,84,Auvergne-Rhône-Alpes,38,1,29,Voiron,20853,45.3791720843,5.58240310671,1
63124,84,Auvergne-Rhône-Alpes,63,2,16,Cournon-d'Auvergne,20712,45.7429670015,3.18687581638,0
73011,84,Auvergne-Rhône-Alpes,73,1,98,Albertville,20414,45.6683987277,6.40460338643,0
