com_id,reg_id,region,dep_id,arr_id,can_id,name,population,lat,lon,group
21231,27,Bourgogne-Franche-Comté,21,2,99,Dijon,162454,47.3229437965,5.03788805877,0
25056,27,Bourgogne-Franche-Comté,25,1,99,Besançon,121519,47.2553872249,6.01948696494,0
71076,27,Bourgogne-Franche-Comté,71,2,97,Chalon-sur-Saône,46567,46.7900288793,4.85191555008,0
90010,27,Bourgogne-Franche-Comté,90,1,99,Belfort,46225,47.6471539414,6.84541206237,0
89024,27,Bourgogne-Franche-Comté,89,1,98,Auxerre,35244,47.793488225,3.58168281761,0
71270,27,Bourgogne-Franche-Comté,71,5,99,Mâcon,35137,46.3205511756,4.81842529639,0
58194,27,Bourgogne-Franche-Comté,58,3,99,Nevers,33285,46.9881194908,3.15689130958,0
89387,27,Bourgogne-Franche-Comté,89,3,99,Sens,27367,48.1956727015,3.29793332552,0
25388,27,Bourgogne-Franche-Comté,25,2,13,Montbéliard,26269,47.5155169816,6.79148147353,0
39198,27,Bourgogne-Franche-Comté,39,1,98,Dole,24483,47.0755452538,5.50062446099,0
71153,27,Bourgogne-Franche-Comté,71,1,98,Le Creusot,21319,46.8068539189,4.42642301163,0
21054,27,Bourgogne-Franche-Comté,21,1,3,Beaune,20808,47.0255189366,4.83767985985,0
25462,27,Bourgogne-Franche-Comté,25,3,16,Pontarlier,18618,46.9119730882,6.38914602031,0
39300,27,Bourgogne-Franche-Comté,39,2,99,Lons-le-Saunier,17921,46.6744796278,5.55733212947,0
71306,27,Bourgogne-Franche-Comté,71,1,23,Montceau-les-Mines,17488,46.6762539128,4.3540960404,0
70550,27,Bourgogne-Franche-Comté,70,2,99,Vesoul,15626,47.6320408648,6.1548458149,0
21166,27,Bourgogne-Franche-Comté,21,2,6,Chenôve,14491,47.2926136721,5.00488353457,0
71014,27,Bourgogne-Franche-Comté,71,1,96,Autun,14215,46.945536773,4.31060069532,0
25031,27,Bourgogne-Franche-Comté,25,2,1,Audincourt,13763,47.4811676376,6.85493983157,0
21617,27,Bourgogne-Franche-Comté,21,2,23,Talant,12004,47.3388300285,4.99779516001,0
21171,27,Bourgogne-Franche-Comté,21,2,7,Chevigny-Saint-Sauveur,11261,47.2999007268,5.13656967893,0
25580,27,Bourgogne-Franche-Comté,25,2,19,Valentigney,11065,47.4647367767,6.82570788244,0
70285,27,Bourgogne-Franche-Comté,70,1,97,Héricourt,10862,47.5698613671,6.76517349246,0
89206,27,Bourgogne-Franche-Comté,89,3,11,Joigny,9691,48.0088550804,3.40980180815,0
