com_id,reg_id,region,dep_id,arr_id,can_id,name,population,lat,lon,group
35238,53,Bretagne,35,3,98,Rennes,226654,48.1119791219,-1.68186449144,0
29019,53,Bretagne,29,1,98,Brest,142110,48.4004997828,-4.5027907853,0
29232,53,Bretagne,29,4,99,Quimper,65875,47.9971425162,-4.09111944455,0
56121,53,Bretagne,56,1,98,Lorient,58881,47.7500486947,-3.37823200917,0
56260,53,Bretagne,56,3,99,Vannes,56018,47.6597493766,-2.75714329498,0
35288,53,Bretagne,35,4,99,Saint-Malo,48328,48.6400443482,-1.98060627256,0
22278,53,Bretagne,22,4,99,Saint-Brieuc,45602,48.5149806053,-2.76154552773,0
56098,53,Bretagne,56,1,7,Lanester,23421,47.7691924277,-3.32648317962,0
22113,53,Bretagne,22,3,7,Lannion,21356,48.7433496707,-3.46159799691,0
35115,53,Bretagne,35,1,97,Fougères,21121,48.3524697115,-1.19431177241,0
29039,53,Bretagne,29,4,8,Concarneau,21099,47.8966260003,-3.90716871821,0
35047,53,Bretagne,35,3,4,Bruz,19561,48.0261755313,-1.74817480915,0
56162,53,Bretagne,56,1,12,Ploemeur,19185,47.7325584986,-3.44178815745,0
35360,53,Bretagne,35,1,27,Vitré,19171,48.1140815063,-1.19370720718,0
35051,53,Bretagne,35,3,3,Cesson-Sévigné,17799,48.1202268032,-1.59714447272,0
22093,53,Bretagne,22,4,89,Lamballe-Armor,17169,48.4684404751,-2.49534815954,0
29103,53,Bretagne,29,1,13,Landerneau,16627,48.4507528968,-4.2643453824,0
56083,53,Bretagne,56,1,6,Hennebont,16300,47.807556604,-3.26971559866,0
56178,53,Bretagne,56,2,15,Pontivy,16030,48.0729953877,-2.97046592885,0
29075,53,Bretagne,29,1,12,Guipavas,15573,48.4307008294,-4.39621450084,0
22050,53,Bretagne,22,1,4,Dinan,15256,48.4557709953,-2.04816149693,0
29151,53,Bretagne,29,3,17,Morlaix,15172,48.5996746612,-3.82052019963,0
22187,53,Bretagne,22,4,18,Plérin,14916,48.5441732134,-2.77004635921,0
56007,53,Bretagne,56,1,1,Auray,14571,47.6677057368,-2.99041112225,0
29046,53,Bretagne,29,4,10,Douarnenez,14379,48.0806526556,-4.32784220122,0
35281,53,Bretagne,35,3,22,Saint-Jacques-de-la-Lande,14104,48.0755625884,-1.72405381322,0
29212,53,Bretagne,29,1,3,Plouzané,13808,48.3774359933,-4.59923891903,0
29189,53,Bretagne,29,1,12,Plougastel-Daoulas,13637,48.3601932144,-4.38292105021,0
35024,53,Bretagne,35,3,3,Betton,12935,48.1812360423,-1.64589552684,0
29233,53,Bretagne,29,4,25,Quimperlé,12553,47.8561303355,-3.55642894655,0
35210,53,Bretagne,35,3,23,Pacé,12358,48.152548244,-1.77716643787,1
56206,53,Bretagne,56,3,21,Saint-Avé,12195,47.6991321739,-2.7415830935,1
56078,53,Bretagne,56,1,5,Guidel,12037,47.7940076851,-3.49161886127,1
29235,53,Bretagne,29,1,12,Le Relecq-Kerhuon,11930,48.403174987,-4.40146737314,2
22215,53,Bretagne,22,4,21,Ploufragan,11837,48.4877482968,-2.80851630928,1
35069,53,Bretagne,35,3,5,Châteaugiron,10808,48.0441575779,-1.50016256863,1
35093,53,Bretagne,35,4,26,Dinard,10755,48.6241805945,-2.0619828606,1
