com_id,reg_id,region,dep_id,arr_id,can_id,name,population,lat,lon,group
59350,32,Hauts-de-France,59,5,97,Lille,238104,50.6317183168,3.04783272312,0
80021,32,Hauts-de-France,80,2,99,Amiens,136808,49.9009532186,2.29007445539,0
59599,32,Hauts-de-France,59,5,99,Tourcoing,99826,50.7254418902,3.15882757215,0
59512,32,Hauts-de-France,59,5,98,Roubaix,98480,50.6879774811,3.18258434623,0
59183,32,Hauts-de-France,59,4,96,Dunkerque,87805,51.0307229078,2.33752414095,0
62193,32,Hauts-de-France,62,6,98,Calais,68193,50.9502072754,1.87575566132,0
59009,32,Hauts-de-France,59,5,40,Villeneuve-d'Ascq,61902,50.6324372393,3.1535257221,0
60057,32,Hauts-de-France,60,1,98,Beauvais,58306,49.4365523321,2.08616123661,0
2691,32,Hauts-de-France,2,3,98,Saint-Quentin,54347,49.8472336321,3.27769499462,0
59606,32,Hauts-de-France,59,6,39,Valenciennes,43188,50.3588666163,3.51567664819,0
62041,32,Hauts-de-France,62,1,96,Arras,43133,50.2898964997,2.76587316711,0
60159,32,Hauts-de-France,60,3,99,Compiègne,41470,49.3990601478,2.85317249363,0
59650,32,Hauts-de-France,59,5,33,Wattrelos,41197,50.7056367285,3.21628221056,0
62160,32,Hauts-de-France,62,3,97,Boulogne-sur-Mer,40985,50.7271332663,1.60756334802,0
59178,32,Hauts-de-France,59,3,15,Douai,40697,50.3823195335,3.09145683114,0
59378,32,Hauts-de-France,59,5,24,Marcq-en-Barœul,39319,50.6753348557,3.10093583816,0
60175,32,Hauts-de-France,60,4,8,Creil,36193,49.2533487138,2.48472669359,0
62498,32,Hauts-de-France,62,7,29,Lens,32651,50.4374264148,2.82105851259,0
59122,32,Hauts-de-France,59,2,9,Cambrai,32128,50.1702775977,3.24221021072,0
62510,32,Hauts-de-France,62,7,30,Liévin,30432,50.4242782538,2.77291885384,0
59392,32,Hauts-de-France,59,1,30,Maubeuge,29913,50.283630719,3.96328053037,0
2722,32,Hauts-de-France,2,4,99,Soissons,29543,49.3791742979,3.32471758491,0
59328,32,Hauts-de-France,59,5,22,Lambersart,27868,50.6522053005,3.02491174276,2
62427,32,Hauts-de-France,62,7,99,Hénin-Beaumont,26258,50.4092335517,2.95899735168,0
59017,32,Hauts-de-France,59,5,4,Armentières,25588,50.6913797537,2.8797155328,0
62119,32,Hauts-de-France,62,2,11,Béthune,25314,50.5288922584,2.64242379342,0
2408,32,Hauts-de-France,2,2,97,Laon,24738,49.5679724897,3.62089561902,0
80001,32,Hauts-de-France,80,1,98,Abbeville,23318,50.1083582944,1.83209170207,0
59360,32,Hauts-de-France,59,5,28,Loos,23153,50.608350368,3.02066096506,2
59368,32,Hauts-de-France,59,5,23,La Madeleine,22387,50.6548883138,3.06963722507,2
62178,32,Hauts-de-France,62,2,16,Bruay-la-Buissière,22306,50.4903167839,2.55205338028,1
60463,32,Hauts-de-France,60,4,16,Nogent-sur-Oise,21933,49.2761508066,2.46417183632,1
59295,32,Hauts-de-France,59,4,21,Hazebrouck,21869,50.7262967113,2.53864301455,1
59410,32,Hauts-de-France,59,5,25,Mons-en-Barœul,21697,50.6432478699,3.1087677878,1
59646,32,Hauts-de-France,59,5,13,Wasquehal,21190,50.6750984751,3.12858017096,1
59155,32,Hauts-de-France,59,4,12,Coudekerque-Branche,20987,51.0179541343,2.39580832593,1
59279,32,Hauts-de-France,59,5,37,Halluin,20934,50.7747480298,3.12692474358,1
59271,32,Hauts-de-France,59,4,20,Grande-Synthe,20840,51.0167874642,2.29071143357,1
59163,32,Hauts-de-France,59,5,13,Croix,20837,50.6740689994,3.15464041723,2
