com_id,reg_id,region,dep_id,arr_id,can_id,name,population,lat,lon,group
31555,76,Occitanie,31,3,99,Toulouse,503020,43.5963814303,1.43167293364,0
34172,76,Occitanie,34,3,99,Montpellier,302425,43.6134409138,3.86851657896,0
30189,76,Occitanie,30,2,99,Nîmes,149761,43.844938394,4.34806796996,0
66136,76,Occitanie,66,2,99,Perpignan,119447,42.6965954131,2.89936953979,0
34032,76,Occitanie,34,1,98,Béziers,79873,43.3475883319,3.23076754164,0
82121,76,Occitanie,82,2,99,Montauban,63158,44.0222594578,1.36408636501,0
11262,76,Occitanie,11,3,99,Narbonne,57320,43.1652399898,3.02023868739,0
81004,76,Occitanie,81,1,96,Albi,50783,43.9258213622,2.14686328555,0
11069,76,Occitanie,11,1,98,Carcassonne,47854,43.2093798444,2.34398855385,0
34301,76,Occitanie,34,3,25,Sète,45175,43.3917705831,3.64705148296,0
65440,76,Occitanie,65,3,99,Tarbes,43944,43.2347859635,0.0660093937851,0
81065,76,Occitanie,81,2,98,Castres,43833,43.6156511237,2.23787231587,0
30007,76,Occitanie,30,1,98,Alès,43492,44.1250099126,4.08828501262,0
34003,76,Occitanie,34,1,1,Agde,29589,43.309129116,3.48447903133,0
34145,76,Occitanie,34,3,12,Lunel,26626,43.6820481757,4.13566472301,0
31069,76,Occitanie,31,3,3,Blagnac,26600,43.6421867862,1.37886941086,1
12202,76,Occitanie,12,2,99,Rodez,26266,44.3582426254,2.5672793892,0
31395,76,Occitanie,31,1,9,Muret,25336,43.4491077783,1.30784679414,0
34108,76,Occitanie,34,3,8,Frontignan,23705,43.4482458873,3.74923522416,0
32013,76,Occitanie,32,1,99,Auch,23624,43.6534300414,0.575190250459,0
12145,76,Occitanie,12,1,98,Millau,22178,44.0976252203,3.11705384129,0
46042,76,Occitanie,46,1,98,Cahors,21081,44.4507370916,1.44075837848,0
31424,76,Occitanie,31,3,11,Plaisance-du-Touch,19904,43.557591642,1.28585811821,2
30028,76,Occitanie,30,2,5,Bagnols-sur-Cèze,18405,44.1622496736,4.62477380854,0
34129,76,Occitanie,34,3,10,Lattes,17909,43.5638594056,3.90226222861,0
34154,76,Occitanie,34,3,13,Mauguio,16912,43.5928279472,4.00425693337,2
9225,76,Occitanie,9,2,99,Pamiers,16421,43.1234860673,1.61523399037,0
30032,76,Occitanie,30,2,6,Beaucaire,15800,43.7797429509,4.59380296865,1
81099,76,Occitanie,81,1,11,Gaillac,15572,43.9170968776,1.88647213801,0
31446,76,Occitanie,31,3,25,Ramonville-Saint-Agne,15017,43.5441837911,1.47782372823,1
31113,76,Occitanie,31,3,4,Castanet-Tolosan,14636,43.5136166687,1.50383757047,1
82033,76,Occitanie,82,1,3,Castelsarrasin,14404,44.0490326525,1.12348123121,0
