,fact,coords,year,location,country,lon,lat,city,lng
0,Premier vol motorisé,"36° 05′ 50″ N, 75° 42′ 44″ W",1903,Kitty Hawk,USA,-75.71222222222222,36.09722222222222,Premier vol motorisé (1903),-75.71222222222222
1,Théorie de la relativité restreinte,"46° 56′ 57″ N, 7° 26′ 50″ E",1905,Berne,Suisse,7.447222222222223,46.94916666666666,Théorie de la relativité restreinte (1905),7.447222222222223
2,Guerre des Boers,"26° 40′ 25″ S, 27° 55′ 55″ E",1902,,Transvaal,27.931944444444447,-26.67361111111111,Guerre des Boers (1902),27.931944444444447
3,Guerre russo-japonaise,"38° 48′ 00″ N, 121° 14′ 00″ E",1904,"Port-Arthur, Mandchourie",,121.23333333333333,38.8,Guerre russo-japonaise (1904),121.23333333333333
4,Naufrage du Titanic,"41° 46′ 00″ N, 50° 14′ 00″ W",1912,,Océan atlantique,-50.233333333333334,41.766666666666666,Naufrage du Titanic (1912),-50.233333333333334
5,Assassinat de François Ferdinand,"43° 50′ 51″ N, 18° 21′ 23″ E",1914,Sarajevo,Autriche-Hongrie,18.35638888888889,43.847500000000004,Assassinat de François Ferdinand (1914),18.35638888888889
6,Catastrophe de Courrières,"50° 25′ 00″ N, 2° 54′ 17″ E",1906,Courrières,France,2.904722222222222,50.416666666666664,Catastrophe de Courrières (1906),2.904722222222222
8,Chemin des Dames,"49° 24′ N, 3° 36′ E",1917,Laon,France,3.6,49.4,Chemin des Dames (1917),3.6
9,Verdun,"49° 09′ 39″ N, 5° 23′ 18″ E",1916,Verdun,France,5.388333333333334,49.16083333333333,Verdun (1916),5.388333333333334
10,Bataille de Tannenberg,"53° 29′ 45″ N, 20° 08′ 04″ E",1914,Tannenberg,Prussse-Orientale,20.134444444444444,53.49583333333334,Bataille de Tannenberg (1914),20.134444444444444
11,Bataille de la Somme,"50° 00′ 56″ N, 2° 41′ 51″ E",1916,Somme,France,2.6975000000000002,50.01555555555556,Bataille de la Somme (1916),2.6975000000000002
12,Dardanelles,"40° 22′ 02″ N, 26° 27′ 18″ E",1915,Péninsule de Gallipoli,Empire ottoman,26.455,40.367222222222225,Dardanelles (1915),26.455
13,Armistice de 1918,"49° 25′ 38″ N, 2° 54′ 23″ E",1918,Rethondes,France,2.906388888888889,49.42722222222222,Armistice de 1918,2.906388888888889
15,Révolution d'Octobre,"59° 56′ 25″ N, 30° 18′ 50″ E",1917,Petrograd,Russie,30.31388888888889,59.94027777777777,Révolution d'Octobre (1917),30.31388888888889
16,Massacre de Nankin,"32° 03′ 00″ N, 118° 46′ 00″ E",1937,Nankin,Chine,118.76666666666667,32.05,Massacre de Nankin (1937),118.76666666666667
17,Création du Parti fasciste par Mussolini,"41° 53′ 19″ N, 12° 29′ 12″ E",1921,Rome,Italie,12.486666666666666,41.88861111111111,Création du Parti fasciste par Mussolini (1921),12.486666666666666
18,Bombardement de Guernica,"43° 19′ 00″ N, 2° 40′ 00″ W",1937,Guernica,Espagne,-2.6666666666666665,43.31666666666667,Bombardement de Guernica (1937),-2.6666666666666665
20,Ouverture du camp de Dachau par le régime nazi,"48° 16′ 13″ N, 11° 28′ 05″ E",1933,Bavière,Allemagne,11.468055555555555,48.27027777777778,Ouverture du camp de Dachau par le régime nazi (1933),11.468055555555555
22,Percée de Sedan,"49° 42′ 09″ N, 4° 56′ 33″ E",1940,Sedan,France,4.9425,49.7025,Percée de Sedan (1940),4.9425
23,Opération Barbarossa,"52° 04′ 55″ N, 23° 39′ 29″ E",1941,Pont de Koden,Biélorussie,23.658055555555553,52.081944444444446,Opération Barbarossa (1941),23.658055555555553
24,Bataille de Koursk,"51° 30′ 04″ N, 36° 03′ 05″ E",1943,Koursk,URSS,36.05138888888889,51.50111111111111,Bataille de Koursk (1943),36.05138888888889
25,Stalingrad,"48° 42′ 00″ N, 44° 29′ 00″ E",1942-1943,Stalingrad,URSS,44.483333333333334,48.7,Stalingrad (1942-1943),44.483333333333334
26,Varsovie,"52° 14′ 46″ N, 20° 59′ 45″ E",1943,Varsovie,Pologne,20.995833333333334,52.24611111111111,Varsovie (1943),20.995833333333334
27,Libération du camp d'Auschwitz,"50° 02′ 11,84″ N, 19° 10′ 33,23″ E",1944,Auschwitz,Pologne,19.175833,50.036389,Libération du camp d'Auschwitz (1944),19.175833
28,Procès de Nuremberg,"49° 27′ 00″ N, 11° 05′ 00″ E",1945-1946,Nuremberg,Allemagne,11.083333333333334,49.45,Procès de Nuremberg (1945-1946),11.083333333333334
29,Assaut du Maquis Vercors,"44° 53′ 46″ N, 5° 22′ 15″ E",1944,Vercors,France,5.370833333333333,44.89611111111111,Assaut du Maquis Vercors (1944),5.370833333333333
30,Massacre d'Oradour-sur-Glane,"45° 55′ 41″ N, 1° 02′ 28″ E",1944,Oradour,France,1.0411111111111113,45.92805555555555,Massacre d'Oradour-sur-Glane (1944),1.0411111111111113
31,Débarquement à Omaha Beach,"49° 22′ 08″ N, 0° 52′ 07″ W",1944,Normandie,France,-0.8686111111111111,49.36888888888889,Débarquement à Omaha Beach (1944),-0.8686111111111111
32,Poche de Falaise,"48° 53′ 34″ N, 0° 11′ 31″ W",1944,Argentan,France,-0.19194444444444442,48.89277777777778,Poche de Falaise (1944),-0.19194444444444442
33,Bombardement atomique d'Hiroshima,"34° 23′ 13″ N, 132° 26′ 43″ E",1945,Hiroshima,Japon,132.4452777777778,34.386944444444445,Bombardement atomique d'Hiroshima (1945),132.4452777777778
35,Bataille de Diên Biên Phu,"21° 23′ N, 103° 01′ E",1954,Diên Biên Phu,Indochine,103.01666666666667,21.383333333333333,Bataille de Diên Biên Phu (1954),103.01666666666667
37,Printemps de Prague,"50° 05′ 16″ N, 14° 25′ 14″ E",1968,Prague,Tchécoslovaquie,14.420555555555556,50.08777777777778,Printemps de Prague (1968),14.420555555555556
39,Incidents du golfe du Tonkin,"19° 42′ N, 106° 46′ E",1964,Golfe du Tonkin,Viêt Nam,106.76666666666667,19.7,Incidents du golfe du Tonkin (1964),106.76666666666667
41,Offensive du Têt,"16° 39′ 20″ N, 106° 43′ 43″ E",1968,Khe Sanh,Viêt Nam,106.7286111111111,16.655555555555555,Offensive du Têt (1968),106.7286111111111
42,Début de la longue marche ,"27° 18′ N, 116° 00′ E",1934,,,116.0,27.3,Début de la longue marche  (1934),116.0
44,Guerre du Biafra,"6° 26′ 25″ N, 7° 29′ 39″ E",1967,Biafra,Nigeria,7.494166666666667,6.440277777777778,Guerre du Biafra (1967),7.494166666666667
45,Débarquement de la baie des Cochons,"22° 13′ 00″ N, 81° 10′ 00″ W",1961,Baie des Cochons,Cuba,-81.16666666666667,22.216666666666665,Débarquement de la baie des Cochons (1961),-81.16666666666667
46,Exécution de Che Guevara,"18° 47′ 00″ S, 64° 13′ 00″ W",1967,La Higuera,Bolivie,-64.21666666666667,-18.783333333333335,Exécution de Che Guevara (1967),-64.21666666666667
47,Lancement de Spoutnik 1,"45° 57′ 53″ N, 63° 18′ 18″ E",1957,Baïkonour,URSS,63.305,45.96472222222223,Lancement de Spoutnik 1 (1957),63.305
