id_point,name,type,altitude,lat,lon,group
547,Dent de Crolles,sommet,2062,45.30822,5.85555,0
548,Mont Granier,sommet,1938,45.4647,5.92506,0
2583,Pointe de la Gorgeat,sommet,1485,45.49658,5.89403,0
4812,Le Corbeley Rocher,sommet,1419,45.50635,5.86704,0
522,Chamechaude,sommet,2082,45.287689,5.7881672,0
4822,Pointe de la Bornée,sommet,1507,45.48437,5.90675,0
4819,Mont Pellat / La Lentille,sommet,1443,45.4955,5.87843,0
4821,Mont Joigny,sommet,1556,45.49161,5.89763,0
1238,La Pinea,sommet,1771,45.2883,5.73845,0
1367,Grand Som,sommet,2026,45.37046,5.81203,0
1248,Grande Sure,sommet,1920,45.33524,5.70291,0
1981,Lance Sud de Malissard,sommet,2045,45.346,5.872,0
3508,Croix de l'Alpe,sommet,1821,45.41836,5.92664,0
1977,Mont Rachais,sommet,1039,45.2184,5.73325,0
550,Le Charmant Som,sommet,1867,45.3252,5.7634,0
1976,Mont St eynard,sommet,1490,45.2711,5.81361,0
1812,Pinet ou (Truc),sommet,1867,45.432,5.904,0
1811,Roche de Fitta (Fouda Blanc),sommet,1737,45.407,5.903,0
1951,Rochers de Chalves,sommet,1845,45.2976,5.6977,0
1979,Mont Outheran,sommet,1686,45.46641,5.84725,0
1163,Le Mont Charvin,sommet,2409,45.80239,6.41991,0
2476,Pic de Jalouvre,sommet,2408,45.99595,6.45378,0
2721,Rochers de Leschaux,sommet,1936,46.0145560261557,6.42135858535767,0
2718,L'Ambrevetta,sommet,2463,45.92464,6.5317,0
545,Pointe Percée,sommet,2750,45.9555,6.5561,0
4884,Crêt des Mouches,sommet,2036,45.79548,6.28798,0
5736,Pointe des Frêtes,sommet,2019,45.815460643092,6.29197955131531,0
4871,Pointe de Sous Dine,sommet,1954,46.00414,6.33799,0
1052,Les dents de Lanfon,sommet,1824,45.861,6.241,0
1053,Pointe Blanche,sommet,2438,45.99891,6.4602,0
1187,L' Etale,sommet,2483,45.850182,6.447095,0
2720,Tête du Danay,sommet,1731,45.9219,6.4482,0
2719,Pointe de Tardevant,sommet,2501,45.9274,6.5253,0
