"x","place","code","lon","lat","ligne","arr","transit"
"http://fr.dbpedia.org/resource/Corentin_Celton_(métro_de_Paris)","Corentin Celton",2802,2.27899,48.8268,"12","",3380242
"http://fr.dbpedia.org/resource/Jules_Joffrin_(métro_de_Paris)","Jules Joffrin",20,2.34478,48.8924,"12","18",4441668
"http://fr.dbpedia.org/resource/Poissonnière_(métro_de_Paris)","Poissonnière",2110,2.34845,48.8771,"7","9",3594301
"http://fr.dbpedia.org/resource/La_Chapelle_(métro_de_Paris)","La Chapelle",22,2.36029,48.8844,"2","10",6503089
"http://fr.dbpedia.org/resource/Porte_d'Orléans_(métro_de_Paris)","Porte d'Orléans",1502,2.32536,48.8232,"4","14",6598073
"http://fr.dbpedia.org/resource/Kléber_(métro_de_Paris)","Kléber",18,2.29312,48.8711,"6","16",1260051
"http://fr.dbpedia.org/resource/Porte_Dorée_(métro_de_Paris)","Porte Dorée",1301,2.4061,48.8355,"8","12",2702079
"http://fr.dbpedia.org/resource/La_Motte-Picquet_-_Grenelle_(métro_de_Paris)","La Motte-Picquet - Grenelle",17,2.29809,48.8491,"10, 6, 8","15",8280583
"http://fr.dbpedia.org/resource/Cour_Saint-Émilion_(métro_de_Paris)","Cour Saint-Émilion",15,2.38761,48.8335,14,"12",5857110
"http://fr.dbpedia.org/resource/Pelleport_(métro_de_Paris)","Pelleport",24,2.40175,48.8687,"3b","20",386605
"http://fr.dbpedia.org/resource/Danube_(métro_de_Paris)","Danube",23,2.3942,48.8818,"7b","19",600883
"http://fr.dbpedia.org/resource/Le_Peletier_(métro_de_Paris)","Le Peletier",21,2.33955,48.8747,"7","9",2271055
"http://fr.dbpedia.org/resource/Fort_d'Aubervilliers_(métro_de_Paris)","Fort d'Aubervilliers",306,2.40378,48.9142,"15, 7","",3927340
"http://fr.dbpedia.org/resource/Porte_de_Charenton_(métro_de_Paris)","Porte de Charenton",2512,2.4004,48.8328,"8","12",1642061
"http://fr.dbpedia.org/resource/Réaumur_-_Sébastopol_(métro_de_Paris)","Réaumur - Sébastopol",11,2.35239,48.8662,"3, 4","2",4925640
"http://fr.dbpedia.org/resource/Saint-Germain-des-Prés_(métro_de_Paris)","Saint-Germain-des-Prés",2,2.33328,48.8538,"4","6",4498265
"http://fr.dbpedia.org/resource/Couronnes_(métro_de_Paris)","Couronnes",24,2.37986,48.8695,"2","http://fr.dbpedia.org/resource/11e_arrondissement_de_Paris, http://fr.dbpedia.org/resource/20e_arrondissement_de_Paris",3034396
"http://fr.dbpedia.org/resource/Liberté_(métro_de_Paris)","Liberté",25,2.40702,48.8259,"8","",2557299
"http://fr.dbpedia.org/resource/Ranelagh_(métro_de_Paris)","Ranelagh",17,2.26963,48.855,"9","16",2390818
"http://fr.dbpedia.org/resource/Iéna_(métro_de_Paris)","Iéna",1801,2.29338,48.8645,"9","16",2280935
"http://fr.dbpedia.org/resource/Wagram_(métro_de_Paris)","Wagram",3004,2.30367,48.8841,"3","17",2617716
"http://fr.dbpedia.org/resource/Garibaldi_(métro_de_Paris)","Garibaldi",19,2.33191,48.9064,"13","",3127029
"http://fr.dbpedia.org/resource/Asnières_-_Gennevilliers_-_Les_Courtilles_(métro_de_Paris)","Les Courtilles",1904,2.28379,48.9306,"13","",3944225
"http://fr.dbpedia.org/resource/Falguière_(métro_de_Paris)","Falguière",1601,2.31795,48.8445,"12","http://fr.dbpedia.org/resource/15e_arrondissement_de_Paris",930847
"http://fr.dbpedia.org/resource/Aubervilliers_-_Pantin_-_Quatre_Chemins_(métro_de_Paris)","Quatre Chemins",3,2.3925,48.9039,"7","",7051944
"http://fr.dbpedia.org/resource/Saint-Philippe_du_Roule_(métro_de_Paris)","Saint-Philippe du Roule",18,2.31004,48.8719,"9","http://fr.dbpedia.org/resource/8e_arrondissement_de_Paris",2833206
"http://fr.dbpedia.org/resource/Corentin_Cariou_(métro_de_Paris)","Corentin Cariou",22,2.38175,48.8943,"7","19",3178424
"http://fr.dbpedia.org/resource/Gabriel_Péri_(métro_de_Paris)","Gabriel Péri",19,2.29439,48.9166,"13","",5285165
"http://fr.dbpedia.org/resource/Edgar_Quinet_(métro_de_Paris)","Edgar Quinet",4,2.32508,48.841,"6","14",2241317
"http://fr.dbpedia.org/resource/République_(métro_de_Paris)","République",807,2.36381,48.8675,"11, 3, 5, 8, 9","3",16953175
"http://fr.dbpedia.org/resource/Jussieu_(métro_de_Paris)","Jussieu",1207,2.35574,48.8461,"10, 7","5",4202204
"http://fr.dbpedia.org/resource/Porte_de_Choisy_(métro_de_Paris)","Porte de Choisy",14,2.36529,48.8203,"7","13",3085089
"http://fr.dbpedia.org/resource/Monceau_(métro_de_Paris)","Monceau",602,2.3086,48.8803,"2","8",1654418
"http://fr.dbpedia.org/resource/Mairie_de_Montreuil_(métro_de_Paris)","Mairie de Montreuil",25,2.44185,48.8623,"9","",6328612
"http://fr.dbpedia.org/resource/Anatole_France_(métro_de_Paris)","Anatole France",2914,2.28554,48.892,"3","",3866326
"http://fr.dbpedia.org/resource/École_Militaire_(métro_de_Paris)","École Militaire",10,2.30674,48.8551,"8","7",4443503
"http://fr.dbpedia.org/resource/Jacques_Bonsergent_(métro_de_Paris)","Jacques Bonsergent",804,2.36061,48.8712,"5","10",2727155
"http://fr.dbpedia.org/resource/Bercy_(métro_de_Paris)","Bercy",13,2.37958,48.8404,"6","12",5473870
"http://fr.dbpedia.org/resource/Porte_de_Versailles_(métro_de_Paris)","Porte de Versailles",1606,2.28784,48.8323,"12","http://fr.dbpedia.org/resource/15e_arrondissement_de_Paris",6238822
