,city,admin,lat,lng,population,local_rank,group
0,Lyon,69,45.7699284397,4.82922464978,2800.1,0,0
1,Paris,75,48.86263048520001,2.33629344655,2217.6,1,0
2,Toulouse,31,43.5963814303,1.43167293364,440.2,2,0
3,Nice,06,43.711999266099994,7.23826889465,340.7,3,0
4,Nantes,44,47.2316356767,-1.54831008605,282.0,4,0
5,Strasbourg,67,48.5712679849,7.767526795169999,271.7,5,0
6,Montpellier,34,43.6134409138,3.86851657896,255.1,6,0
7,Bordeaux,33,44.8572445351,-0.57369678116,236.7,7,0
8,Lille,59,50.631718316800004,3.0478327231200004,226.8,8,0
9,Rennes,35,48.1119791219,-1.6818644914399998,206.6,9,0
10,Reims,51,49.2514906066,4.0402302322,180.8,10,0
11,Le Havre,76,49.498452502,0.140153719153,177.3,11,0
12,Saint-Etienne,42,45.4301235512,4.37913997076,172.0,12,0
13,Toulon,83,43.1361589728,5.932396342490001,165.5,13,0
14,Grenoble,38,45.1821215167,5.7213305175199975,155.6,14,0
15,Dijon,21,47.3229437965,5.03788805877,152.1,15,0
16,Angers,49,47.476837416,-0.556125995444,147.3,16,0
17,Villeurbanne,69,45.770770417899996,4.88845817426,144.8,17,0
18,Le Mans,72,47.988525671800005,0.200030493539,142.3,18,0
19,Aix-en-Provence,13,43.5360708378,5.3985744458200005,141.9,19,0
20,Brest,29,48.4004997828,-4.502790785299999,141.3,20,0
21,Marseille,13,43.299900943599994,5.38227869795,140.9,21,0
22,Nimes,30,43.844938393999996,4.34806796996,140.7,22,0
23,Limoges,87,45.8542549589,1.2487579024,139.2,23,0
24,Clermont-Ferrand,63,45.7856492991,3.11554542903,138.6,24,0
25,Tours,37,47.398638228100005,0.696526376417,135.2,25,0
26,Amiens,80,49.900953218599994,2.29007445539,134.0,26,0
27,Metz,57,49.1081133279,6.1955245421,121.8,27,0
28,Perpignan,66,42.6965954131,2.8993695397900003,117.9,28,0
29,Besancon,25,47.2553872249,6.01948696494,117.4,29,0
30,Orleans,45,47.8828634214,1.91610357477,113.2,30,0
31,Boulogne-Billancourt,92,48.8365843138,2.23913599058,113.1,31,0
32,Mulhouse,68,47.749163303,7.32570047509,111.2,32,0
33,Rouen,76,49.441346010299995,1.09256784278,110.7,33,0
34,Caen,14,49.1847936737,-0.369801713036,109.3,34,0
35,Nancy,54,48.6901995499,6.17588254434,106.3,35,0
36,Argenteuil,95,48.9511344629,2.2410409502,102.8,36,0
37,Roubaix,59,50.6879774811,3.18258434623,95.0,37,0
38,Dunkerque,59,51.0307229078,2.33752414095,92.9,38,0
39,Tourcoing,59,50.7254418902,3.15882757215,92.4,39,0
40,Nanterre,92,48.896070128199995,2.20671346353,90.0,40,1
41,Avignon,84,43.9352448339,4.84071572505,89.6,41,1
42,Creteil,94,48.783740183599996,2.45463530415,89.4,42,1
43,Poitiers,86,46.5839207726,0.359947653003,88.8,43,1
44,Versailles,78,48.8025669671,2.11789297191,86.5,44,1
45,Vitry-sur-Seine,94,48.7882828307,2.39412680533,85.4,45,1
46,Colombes,92,48.9225179147,2.24675160629,84.6,46,1
47,Pau,64,43.320018977299995,-0.350337918181,82.8,47,1
48,Antibes,06,43.58746514600001,7.1063541825600005,75.6,48,1
49,Saint-Maur-des-Fosses,94,48.7990677797,2.4938645045200003,75.3,49,1
50,Champigny-sur-Marne,94,48.81725436399999,2.51709815257,75.1,50,1
51,Aubervilliers,93,48.9121722626,2.3844551376800003,74.7,51,1
52,Calais,62,50.9502072754,1.87575566132,74.3,52,1
53,Cannes,06,43.552620284300005,7.00427592728,73.4,53,1
54,Beziers,34,43.3475883319,3.23076754164,71.0,54,1
55,Colmar,68,48.1099405789,7.38468690323,67.2,55,1
56,Bourges,18,47.0749572013,2.4041713755700003,66.8,56,1
57,Drancy,93,48.92342462590001,2.44492688692,66.7,57,1
58,Merignac,17,44.8322953289,-0.6817330848909999,66.5,58,1
59,Saint-Nazaire,30,47.2802857028,-2.25379927249,66.3,59,1
60,Valence,16,44.9229811667,4.91444013136,64.4,60,1
61,Ajaccio,2A,41.9347926638,8.70132275974,64.3,61,1
62,Noisy-le-Grand,93,48.83618254010001,2.56443736814,63.4,62,1
63,Quimper,29,47.9971425162,-4.0911194445499985,63.4,63,1
64,La Seyne-sur-Mer,83,43.0880294967,5.87089841754,61.5,64,1
65,Troyes,10,48.296709963699996,4.07827967525,61.2,65,1
66,Sarcelles,95,48.9902250437,2.38160272749,59.4,66,1
67,Venissieux,69,45.7037728826,4.88137668221,58.6,67,1
68,Lorient,56,47.75004869470001,-3.37823200917,57.8,68,1
69,Pessac,33,44.7915990521,-0.676303166277,57.6,69,1
70,Cergy,95,49.0401131567,2.05082123731,57.2,70,1
71,Niort,79,46.328260242,-0.465353019369,56.9,71,1
72,Chambery,73,45.583182552,5.909033924169999,56.5,72,1
73,Montauban,82,44.0222594578,1.36408636501,56.1,73,1
74,Saint-Quentin,02,49.8472336321,3.27769499462,56.0,74,1
75,Hyeres,83,43.1018713534,6.18898508469,54.7,75,1
76,Beauvais,60,49.4365523321,2.08616123661,54.5,76,1
77,Cholet,49,47.0454402992,-0.877886189605,54.1,77,1
78,Arles,13,43.546869237799996,4.66215642574,53.0,78,1
79,Vannes,56,47.6597493766,-2.75714329498,52.7,79,1
80,Evry,89,48.6294831659,2.4400824449200003,52.4,80,1
81,Frejus,83,43.4719558114,6.76361597424,52.2,81,1
82,La Roche-sur-Yon,85,46.667526164399995,-1.4077954093,52.2,82,1
83,Grasse,06,43.655639428,6.93190508233,52.0,83,1
84,Sartrouville,78,48.93960854979999,2.17458686513,51.5,84,1
85,Evreux,27,49.02015421,1.14164412464,51.2,85,1
86,Laval,38,48.060856546800004,-0.766005687142,51.2,86,1
87,Narbonne,11,43.16523998979999,3.02023868739,51.2,87,1
88,Annecy,74,45.8906432566,6.125517735980001,50.3,88,1
89,Belfort,90,47.647153941400006,6.84541206237,50.2,89,1
90,Charleville-Mezieres,08,49.775296580299994,4.71724655966,50.0,90,1
91,Meaux,77,48.9570625667,2.90003097245,49.6,91,1
92,Brive-la-Gaillarde,19,45.143583066400005,1.51936836063,49.2,92,1
93,Albi,81,43.925821362200004,2.1468632855500003,48.9,93,1
94,Carcassonne,11,43.2093798444,2.34398855385,47.9,94,1
95,Saint-Malo,35,48.6400443482,-1.98060627256,47.0,95,1
96,Martigues,13,43.379892048900004,5.04945402314,46.6,96,1
97,Saint-Ouen,41,48.909806575,2.3325704220500003,46.5,97,1
98,Chateauroux,36,46.8029617828,1.6939981200100005,46.4,98,1
99,Chalons-en-Champagne,51,48.9640892125,4.3788353972500005,46.2,99,1
100,Blois,41,47.5817013938,1.30625551583,46.0,100,2
101,Saint-Brieuc,22,48.514980605299996,-2.76154552773,46.0,101,2
102,Chalon-sur-Saone,71,46.7900288793,4.85191555008,45.5,102,2
103,Bayonne,64,43.492225401599995,-1.4660767435799995,44.9,103,2
104,Tarbes,65,43.2347859635,0.0660093937851,43.7,104,2
105,Bastia,2B,42.6864768806,9.42502133338,43.5,105,2
106,Boulogne-sur-Mer,62,50.7271332663,1.6075633480200002,43.3,106,2
107,Saint-Herblain,44,47.2243762412,-1.63434818692,43.1,107,2
108,Mantes-la-Jolie,78,48.9981665392,1.69337806821,43.1,108,2
109,Corbeil-Essonnes,91,48.6034809251,2.46934079002,42.5,109,2
110,Sete,34,43.391770583100005,3.64705148296,42.5,110,2
111,Angouleme,16,45.6472585146,0.14514490683,42.2,111,2
112,Arras,62,50.2898964997,2.76587316711,42.0,112,2
113,Thionville,57,49.3759716201,6.12928314217,41.6,113,2
114,Ales,30,44.1250099126,4.088285012619997,41.4,114,2
115,Caluire-Et-Cuire,69,45.79740536479999,4.85124857101,41.1,115,2
116,Saint-Germain-en-Laye,78,48.9407041394,2.09870929375,40.9,116,2
117,Compiegne,60,49.3990601478,2.85317249363,40.9,117,2
118,Garges-les-Gonesse,95,48.9701231267,2.40534038501,40.2,118,2
119,Bourg-en-Bresse,01,46.2051520382,5.24602125501,39.6,119,2
120,Melun,77,48.544472355299995,2.65795821917,39.4,120,2
121,Gap,05,44.5798600596,6.06486052138,39.2,121,2
122,Chartres,28,48.4471464884,1.50570610616,39.1,122,2
123,Montlucon,03,46.3385883496,2.60390499777,39.0,123,2
124,Cherbourg-Octeville,50,49.633412156000006,-1.63390160204,39.0,124,2
125,Reze,44,47.1762338904,-1.54966399893,38.2,125,2
126,Anglet,64,43.4917846595,-1.5162337337099998,37.7,126,2
127,Nevers,58,46.9881194908,3.15689130958,37.5,127,2
128,Savigny-sur-Orge,91,48.684228392,2.34873862215,37.1,128,2
129,Roanne,42,46.0449112487,4.0797045647,36.9,129,2
130,Auxerre,89,47.793488225,3.58168281761,36.7,130,2
131,Joue-les-Tours,37,47.33355607399999,0.654546300116,36.0,131,2
132,Saint-Chamond,42,45.4698319517,4.501849895059999,35.9,132,2
133,Lens,62,50.437426414799994,2.82105851259,35.8,133,2
