,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
0,0,Algérie,primary,Algiers,Algeria,DZ,36.763056,3.0505560000000003,3354000.0,1977663.0,1765,AF,Afrique
0,0,Angola,primary,Luanda,Angola,AO,-8.836803999999997,13.233173999999998,5172900.0,1951272.0,1768,AF,Afrique
0,0,Botswana,primary,Gaborone,Botswana,BW,-24.646389000000006,25.911944,208411.0,159243.0,528,AF,Afrique
0,0,Burundi,primary,Bujumbura,Burundi,BI,-3.3822,29.3644,331700.0,331700.0,226,AF,Afrique
1,1,Cameroun,primary,Yaoundé,Cameroon,CM,3.866667,11.516667,1611000.0,1060587.0,9,AF,Afrique
0,0,Tchad,primary,N’Djamena,Chad,TD,12.108502,15.048173,989000.0,681387.0,1923,AF,Afrique
0,0,Congo Kinshasa,primary,Kinshasa,Congo (Kinshasa),CD,-4.327108,15.30717,7843000.0,5565703.0,1531,AF,Afrique
0,0,Ethiopie,primary,Addis Ababa,Ethiopia,ET,9.024325,38.749226,3100000.0,2757729.0,244,AF,Afrique
0,0,Guinée,primary,Conakry,Guinea,GN,9.509167,-13.712222,1494000.0,1494000.0,606,AF,Afrique
4,4,Côte d'Ivoire,primary,Yamoussoukro,Côte D’Ivoire,CI,6.820548,-5.276741,206499.0,194530.0,786,AF,Afrique
0,0,Kenya,primary,Nairobi,Kenya,KE,-1.283333,36.816667,3010000.0,2750547.0,1607,AF,Afrique
0,0,Libye,primary,Tripoli,Libya,LY,32.8925,13.18,2189000.0,229398.0,573,AF,Afrique
35,35,Madagascar,primary,Antananarivo,Madagascar,MG,-18.916667,47.516667,0.0,,1666,AF,Afrique
0,0,Mali,primary,Bamako,Mali,ML,12.65,-8.0,1494000.0,1297281.0,577,AF,Afrique
0,0,Mozambique,primary,Maputo,Mozambique,MZ,-25.965278,32.589167,1446000.0,1191613.0,1886,AF,Afrique
0,0,Niger,primary,Niamey,Niger,NE,13.516667000000002,2.116667,915000.0,742791.0,1850,AF,Afrique
3,3,Nigéria,primary,Abuja,Nigeria,NG,9.083333,7.533333,1576000.0,162135.0,1855,AF,Afrique
0,0,Somalie,primary,Mogadishu,Somalia,SO,2.046193,45.33407,1100000.0,875388.0,1046,AF,Afrique
1,1,Afrique du Sud,primary,Cape Town,South Africa,ZA,-33.925839,18.423218,3215000.0,2432858.0,1147,AF,Afrique
4,4,Afrique du Sud,primary,Pretoria,South Africa,ZA,-25.706944,28.229444,1338000.0,1338000.0,1118,AF,Afrique
8,8,Afrique du Sud,primary,Bloemfontein,South Africa,ZA,-29.121065,26.214003,463064.0,456669.0,1087,AF,Afrique
0,0,Soudan,primary,Khartoum,Sudan,SD,15.588056,32.534167,4754000.0,1974647.0,916,AF,Afrique
0,0,Tunisie,primary,Tunis,Tunisia,TN,36.806112,10.171078,2412500.0,728453.0,900,AF,Afrique
51,51,Ouganda,primary,Kampala,Uganda,UG,0.315556,32.565556,0.0,,1330,AF,Afrique
0,0,Egypte,primary,Cairo,Egypt,EG,30.07708,31.285909000000004,11893000.0,7734614.0,1398,AF,Afrique
0,0,Tanzanie,primary,Dar es Salaam,Tanzania,TZ,-6.8,39.283333,2930000.0,2698652.0,1374,AF,Afrique
8,8,Tanzanie,primary,Dodoma,Tanzania,TZ,-6.183333,35.75,218269.0,180541.0,1382,AF,Afrique
0,0,Burkina Faso,primary,Ouagadougou,Burkina Faso,BF,12.370278,-1.524722,1149000.0,835457.0,1166,AF,Afrique
0,0,Zambie,primary,Lusaka,Zambia,ZM,-15.416667000000002,28.283333,1328000.0,1267440.0,1251,AF,Afrique
