,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
0,0,Algérie,primary,Algiers,Algeria,DZ,36.763056,3.0505560000000003,3354000.0,1977663.0,1765,AF,Afrique
1,1,Algérie,admin,Oran,Algeria,DZ,35.691111,-0.641667,798000.0,645984.0,730,AF,Afrique
2,2,Algérie,admin,Constantine,Algeria,DZ,36.365,6.614722,605179.0,450097.0,216,AF,Afrique
3,3,Algérie,admin,Blida,Algeria,DZ,36.470039,2.827699,511348.0,265000.0,60,AF,Afrique
4,4,Algérie,admin,Annaba,Algeria,DZ,36.9,7.766667,503524.0,206570.0,1585,AF,Afrique
5,5,Algérie,admin,Chlef,Algeria,DZ,36.165253,1.334523,449167.0,449167.0,1766,AF,Afrique
6,6,Algérie,admin,Bejaïa,Algeria,DZ,36.75587,5.084332,384937.0,164103.0,371,AF,Afrique
7,7,Algérie,admin,Batna,Algeria,DZ,35.555278,6.178611,280798.0,258136.0,1513,AF,Afrique
8,8,Algérie,admin,Sétif,Algeria,DZ,36.191121,5.4137330000000015,274744.0,274744.0,0,AF,Afrique
9,9,Algérie,admin,Tlemcen,Algeria,DZ,34.878333000000005,-1.315,229777.0,132341.0,1514,AF,Afrique
10,10,Algérie,admin,Skikda,Algeria,DZ,36.876174,6.9092080000000005,225181.0,162702.0,731,AF,Afrique
11,11,Algérie,admin,Sidi Bel Abbès,Algeria,DZ,35.189937,-0.630846,208604.0,191769.0,301,AF,Afrique
12,12,Algérie,admin,Biskra,Algeria,DZ,34.850378000000006,5.728046,202103.0,202103.0,490,AF,Afrique
13,13,Algérie,admin,Mostaganem,Algeria,DZ,35.931151,0.089176,188354.0,130000.0,1515,AF,Afrique
14,14,Algérie,admin,Tiaret,Algeria,DZ,35.37103,1.3169879999999998,184195.0,184195.0,1808,AF,Afrique
15,15,Algérie,admin,El Oued,Algeria,DZ,33.35608,6.863186,177497.0,177497.0,1516,AF,Afrique
16,16,Algérie,admin,Ouargla,Algeria,DZ,31.935022,5.322329,176271.0,176271.0,1767,AF,Afrique
17,17,Algérie,admin,Tébessa,Algeria,DZ,35.404167,8.124167,171742.0,171742.0,732,AF,Afrique
18,18,Algérie,admin,Djelfa,Algeria,DZ,34.672787,3.262995,170901.0,170901.0,1617,AF,Afrique
19,19,Algérie,admin,M’Sila,Algeria,DZ,35.705833,4.541944,150000.0,100000.0,1586,AF,Afrique
20,20,Algérie,admin,Jijel,Algeria,DZ,36.820344,5.764525,148000.0,148000.0,526,AF,Afrique
21,21,Algérie,admin,Médéa,Algeria,DZ,36.264169,2.753926,147707.0,144020.0,159,AF,Afrique
22,22,Algérie,admin,Béchar,Algeria,DZ,31.616667,-2.216667,143382.0,141449.0,564,AF,Afrique
23,23,Algérie,admin,Saïda,Algeria,DZ,34.830335,0.151713,142213.0,127497.0,160,AF,Afrique
24,24,Algérie,admin,Bordj Bou Arreridj,Algeria,DZ,36.07321500000001,4.7610800000000015,140000.0,129000.0,733,AF,Afrique
25,25,Algérie,admin,Souk Ahras,Algeria,DZ,36.286389,7.951111,134947.0,134947.0,336,AF,Afrique
27,27,Algérie,admin,Ghardaïa,Algeria,DZ,32.483333,3.666667,125480.0,125480.0,658,AF,Afrique
28,28,Algérie,admin,Guelma,Algeria,DZ,36.462136,7.426075999999999,123590.0,123590.0,734,AF,Afrique
29,29,Algérie,admin,Laghouat,Algeria,DZ,33.8,2.865143,113872.0,102686.0,1646,AF,Afrique
30,30,Algérie,admin,Bouira,Algeria,DZ,36.374894,3.901998,110144.0,110144.0,217,AF,Afrique
31,31,Algérie,admin,Mascara,Algeria,DZ,35.396644,0.14027,108230.0,108230.0,1517,AF,Afrique
32,32,Algérie,admin,Oum el Bouaghi,Algeria,DZ,35.875411,7.1135259999999985,100821.0,100821.0,1920,AF,Afrique
33,33,Algérie,admin,Tamanrasset,Algeria,DZ,22.785,5.522778,76000.0,67616.0,218,AF,Afrique
34,34,Algérie,admin,El Bayadh,Algeria,DZ,33.683176,1.019273,67413.0,67413.0,735,AF,Afrique
36,36,Algérie,admin,Adrar,Algeria,DZ,27.870924,-0.285634,56910.0,56910.0,1868,AF,Afrique
41,41,Algérie,admin,Tindouf,Algeria,DZ,27.671109,-8.147435,18270.0,18270.0,1519,AF,Afrique
44,44,Algérie,admin,Illizi,Algeria,DZ,26.483333,8.466667,7957.0,6629.0,738,AF,Afrique
49,49,Algérie,admin,Mila,Algeria,DZ,36.450278,6.264444,0.0,,491,AF,Afrique
50,50,Algérie,admin,Khenchela,Algeria,DZ,35.435833,7.143333,0.0,,742,AF,Afrique
51,51,Algérie,admin,Tizi Ouzou,Algeria,DZ,36.711825,4.045914,0.0,,743,AF,Afrique
52,52,Algérie,admin,El Tarf,Algeria,DZ,36.767199,8.313771000000001,0.0,,1,AF,Afrique
53,53,Algérie,admin,Aïn Defla,Algeria,DZ,36.264055,1.967897,0.0,,744,AF,Afrique
54,54,Algérie,admin,Relizane,Algeria,DZ,35.737344,0.555987,0.0,,219,AF,Afrique
55,55,Algérie,admin,Naama,Algeria,DZ,33.266667,-0.31666700000000003,0.0,,1520,AF,Afrique
56,56,Algérie,admin,Boumerdes,Algeria,DZ,36.758965,3.474819,0.0,,745,AF,Afrique
57,57,Algérie,admin,Tipasa,Algeria,DZ,36.589722,2.4475,0.0,,746,AF,Afrique
58,58,Algérie,admin,Tissemsilt,Algeria,DZ,35.607222,1.81081,0.0,,1809,AF,Afrique
59,59,Algérie,admin,Aïn Temouchent,Algeria,DZ,35.297489,-1.140373,0.0,,747,AF,Afrique
