,admin,capital,city,country,iso2,lat,lng,population,population_proper
0,Egypte,primary,Cairo,Egypt,EG,30.07708,31.285909000000004,11893000.0,7734614.0
1,Nigéria,minor,Lagos,Nigeria,NG,6.454066,3.3946730000000005,9466000.0,1536.0
2,Congo Kinshasa,primary,Kinshasa,Congo (Kinshasa),CD,-4.327108,15.30717,7843000.0,5565703.0
3,Angola,primary,Luanda,Angola,AO,-8.836803999999997,13.233173999999998,5172900.0,1951272.0
4,Soudan,primary,Khartoum,Sudan,SD,15.588056,32.534167,4754000.0,1974647.0
5,Egypte,admin,Alexandria,Egypt,EG,31.215645,29.955266,4165000.0,3811516.0
6,Côte d'Ivoire,,Adjamé,Côte D’Ivoire,CI,5.350527,-4.024637,3802000.0,3190395.0
7,Afrique du Sud,admin,Johannesburg,South Africa,ZA,-26.205171,28.049815,3435000.0,2026469.0
8,Algérie,primary,Algiers,Algeria,DZ,36.763056,3.0505560000000003,3354000.0,1977663.0
9,Afrique du Sud,primary,Cape Town,South Africa,ZA,-33.925839,18.423218,3215000.0,2432858.0
10,Nigéria,admin,Kano,Nigeria,NG,12.002381,8.513160000000001,3140000.0,3140000.0
11,Ethiopie,primary,Addis Ababa,Ethiopia,ET,9.024325,38.749226,3100000.0,2757729.0
12,Kenya,primary,Nairobi,Kenya,KE,-1.283333,36.816667,3010000.0,2750547.0
13,Afrique du Sud,,Benoni,South Africa,ZA,-26.190851,28.311338,2986000.0,605344.0
14,Tanzanie,primary,Dar es Salaam,Tanzania,TZ,-6.8,39.283333,2930000.0,2698652.0
15,Afrique du Sud,,Durban,South Africa,ZA,-29.857896000000004,31.029198,2729000.0,2729000.0
16,Egypte,admin,Al Jīzah,Egypt,EG,30.008079,31.210931,2681863.0,2681863.0
17,Nigéria,admin,Ibadan,Nigeria,NG,7.377561999999998,3.905907,2628000.0,1814570.0
18,Tunisie,primary,Tunis,Tunisia,TN,36.806112,10.171078,2412500.0,728453.0
19,Soudan,,Omdurman,Sudan,SD,15.636110999999998,32.437222,2395159.0,2183698.0
20,Libye,primary,Tripoli,Libya,LY,32.8925,13.18,2189000.0,229398.0
21,Cameroun,admin,Douala,Cameroon,CM,4.0469,9.7084,1906000.0,1338082.0
22,Madagascar,,Ampamantanana,Madagascar,MG,-18.933333,47.533333,1697000.0,1391433.0
23,Cameroun,primary,Yaoundé,Cameroon,CM,3.866667,11.516667,1611000.0,1060587.0
24,Nigéria,primary,Abuja,Nigeria,NG,9.083333,7.533333,1576000.0,162135.0
25,Guinée,primary,Conakry,Guinea,GN,9.509167,-13.712222,1494000.0,1494000.0
26,Mali,primary,Bamako,Mali,ML,12.65,-8.0,1494000.0,1297281.0
27,Mozambique,primary,Maputo,Mozambique,MZ,-25.965278,32.589167,1446000.0,1191613.0
28,Nigéria,admin,Kaduna,Nigeria,NG,10.526413,7.438795,1442000.0,940593.0
29,Ouganda,,Kawaala,Uganda,UG,0.338863,32.554064000000004,1420000.0,1353189.0
30,Congo Kinshasa,admin,Lubumbashi,Congo (Kinshasa),CD,-11.671453,27.479161,1352000.0,876634.0
31,Afrique du Sud,primary,Pretoria,South Africa,ZA,-25.706944,28.229444,1338000.0,1338000.0
32,Zambie,primary,Lusaka,Zambia,ZM,-15.416667000000002,28.283333,1328000.0,1267440.0
33,Congo Kinshasa,admin,Mbuji-Mayi,Congo (Kinshasa),CD,-6.134238,23.610154,1295000.0,874761.0
34,Nigéria,admin,Benin City,Nigeria,NG,6.338153,5.625749,1190000.0,668026.0
35,Libye,admin,Benghazi,Libya,LY,32.117664000000005,20.129275,1180000.0,582374.0
36,Burkina Faso,primary,Ouagadougou,Burkina Faso,BF,12.370278,-1.524722,1149000.0,835457.0
37,Angola,admin,Huambo,Angola,AO,-12.776111,15.739167000000002,1100000.0,872000.0
38,Somalie,primary,Mogadishu,Somalia,SO,2.046193,45.33407,1100000.0,875388.0
39,Nigéria,minor,Ikare,Nigeria,NG,7.525913,5.753417,1099931.0,700000.0
40,Afrique du Sud,,Vereeniging,South Africa,ZA,-26.673133,27.926147,1074000.0,474681.0
41,Afrique du Sud,,Port Elizabeth,South Africa,ZA,-33.917988,25.570066,1021000.0,640054.0
42,Nigéria,admin,Port Harcourt,Nigeria,NG,4.7774230000000015,7.013404,1020000.0,1020000.0
43,Tchad,primary,N’Djamena,Chad,TD,12.108502,15.048173,989000.0,681387.0
44,Nigéria,minor,Ogbomoso,Nigeria,NG,8.133725,4.240144,951000.0,239127.0
45,Niger,primary,Niamey,Niger,NE,13.516667000000002,2.116667,915000.0,742791.0
46,Nigéria,minor,Aba,Nigeria,NG,5.106576,7.366667,897560.0,851210.0
47,Kenya,admin,Mombasa,Kenya,KE,-4.054655,39.663588,882000.0,799668.0
48,Algérie,admin,Oran,Algeria,DZ,35.691111,-0.641667,798000.0,645984.0
49,Congo Kinshasa,admin,Kananga,Congo (Kinshasa),CD,-5.896241000000002,22.416588,765000.0,463546.0
50,Afrique du Sud,admin,Pietermaritzburg,South Africa,ZA,-29.616785,30.39278,750845.0,490951.0
51,Tanzanie,admin,Moshi,Tanzania,TZ,-3.35,37.333333,721018.0,206728.0
52,Egypte,admin,Ismailia,Egypt,EG,30.604272,32.272252,656135.0,284813.0
53,Congo Kinshasa,admin,Kikwit,Congo (Kinshasa),CD,-5.041748,18.819516,637736.0,294210.0
54,Egypte,admin,Port Said,Egypt,EG,31.256541,32.284115,623864.0,500000.0
55,Egypte,admin,Luxor,Egypt,EG,25.695858,32.643592,609248.0,487896.0
56,Algérie,admin,Constantine,Algeria,DZ,36.365,6.614722,605179.0,450097.0
57,Egypte,admin,Sūhāj,Egypt,EG,26.556952000000006,31.694785,600000.0,209419.0
58,Egypte,admin,Al Manşūrah,Egypt,EG,31.036373,31.380691,600000.0,480494.0
59,Congo Kinshasa,admin,Kisangani,Congo (Kinshasa),CD,0.5152800000000001,25.190987,578470.0,539158.0
60,Côte d'Ivoire,admin,Bouaké,Côte D’Ivoire,CI,7.6938460000000015,-5.030307,567481.0,454821.0
61,Mozambique,,Matola,Mozambique,MZ,-25.829167,32.457221999999994,543907.0,462829.0
62,Mozambique,admin,Beira,Mozambique,MZ,-19.843611,34.838889,530604.0,483789.0
63,Algérie,admin,Blida,Algeria,DZ,36.470039,2.827699,511348.0,265000.0
64,Egypte,admin,Suez,Egypt,EG,29.973714,32.526267,508335.0,488125.0
65,Algérie,admin,Annaba,Algeria,DZ,36.9,7.766667,503524.0,206570.0
66,Egypte,admin,Al Minyā,Egypt,EG,28.109884,30.750299,500000.0,227150.0
67,Tanzanie,admin,Mwanza,Tanzania,TZ,-2.516667,32.9,493944.0,436801.0
68,Soudan,admin,Port Sudan,Sudan,SD,19.615484,37.203107,489725.0,489725.0
69,Ethiopie,,Nazrēt,Ethiopia,ET,8.55,39.266667,476892.0,213995.0
70,Afrique du Sud,primary,Bloemfontein,South Africa,ZA,-29.121065,26.214003,463064.0,456669.0
71,Tunisie,admin,Sfax,Tunisia,TN,34.740556,10.760278,453050.0,277278.0
72,Algérie,admin,Chlef,Algeria,DZ,36.165253,1.334523,449167.0,449167.0
73,Cameroun,admin,Bamenda,Cameroon,CM,5.9597050000000005,10.145974,445299.0,393835.0
74,Cameroun,admin,Garoua,Cameroon,CM,9.301425,13.397707,436899.0,293974.0
75,Congo Kinshasa,admin,Bukavu,Congo (Kinshasa),CD,-2.490765,28.84281,436779.0,225389.0
76,Congo Kinshasa,,Likasi,Congo (Kinshasa),CD,-10.983031,26.738395,434408.0,422414.0
77,Afrique du Sud,,Welkom,South Africa,ZA,-27.986442,26.706612,431944.0,126079.0
