,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
0,0,Afghanistan,primary,Kabul,Afghanistan,AF,34.516667,69.18333299999999,3277000.0,3043532.0,12449,AS,Asie
1,1,Afghanistan,admin,Kandahār,Afghanistan,AF,31.613323,65.710126,715542.0,512200.0,2702,AS,Asie
2,2,Afghanistan,admin,Jalālābād,Afghanistan,AF,34.426468,70.45153,597971.0,205423.0,2703,AS,Asie
3,3,Afghanistan,admin,Herāt,Afghanistan,AF,34.348167,62.199673,481009.0,397456.0,483,AS,Asie
4,4,Afghanistan,admin,Mazār-e Sharīf,Afghanistan,AF,36.709041,67.110866,458151.0,272714.0,2704,AS,Asie
5,5,Afghanistan,admin,Kunduz,Afghanistan,AF,36.728955,68.857001,259809.0,161902.0,13354,AS,Asie
7,7,Afghanistan,admin,Lashkar Gāh,Afghanistan,AF,31.593817,64.37161400000001,201546.0,201546.0,484,AS,Asie
8,8,Afghanistan,admin,Maīmanah,Afghanistan,AF,35.921337,64.784058,199795.0,199795.0,13481,AS,Asie
10,10,Afghanistan,admin,Ghaznī,Afghanistan,AF,33.550833000000004,68.4225,141000.0,118785.0,16234,AS,Asie
11,11,Afghanistan,admin,Gardēz,Afghanistan,AF,33.597439,69.225922,103601.0,61760.0,12744,AS,Asie
12,12,Afghanistan,admin,Shibirghān,Afghanistan,AF,36.667567,65.752904,93241.0,55641.0,2914,AS,Asie
13,13,Afghanistan,admin,Farāh,Afghanistan,AF,32.374508,62.116383,73647.0,43561.0,485,AS,Asie
15,15,Afghanistan,admin,Faīẕābād,Afghanistan,AF,37.116638,70.580022,64704.0,40276.0,486,AS,Asie
16,16,Afghanistan,admin,Tāluqān,Afghanistan,AF,36.734133,69.533559,64256.0,64256.0,487,AS,Asie
17,17,Afghanistan,admin,Pul-e Khumrī,Afghanistan,AF,35.944583,68.715122,56369.0,25689.0,488,AS,Asie
18,18,Afghanistan,admin,Chārīkār,Afghanistan,AF,35.016585,69.174011,53676.0,53676.0,2705,AS,Asie
19,19,Afghanistan,admin,Asadābād,Afghanistan,AF,34.873113000000004,71.14697,48400.0,48400.0,2670,AS,Asie
20,20,Afghanistan,admin,Aībak,Afghanistan,AF,36.26468,68.015512,24000.0,24000.0,2706,AS,Asie
23,23,Afghanistan,admin,Mehtar Lām,Afghanistan,AF,34.671389000000005,70.20944399999999,17345.0,17345.0,489,AS,Asie
25,25,Afghanistan,admin,Qalāt,Afghanistan,AF,32.10575,66.908332,12191.0,12191.0,2708,AS,Asie
26,26,Afghanistan,admin,Tarīn Kōṯ,Afghanistan,AF,32.62675,65.873313,10000.0,10000.0,14343,AS,Asie
27,27,Afghanistan,admin,Maḩmūd-e Rāqī,Afghanistan,AF,35.016406,69.344504,7407.0,7407.0,12324,AS,Asie
28,28,Afghanistan,admin,Qal‘ah-ye Now,Afghanistan,AF,34.987351000000004,63.128911,2997.0,2997.0,2709,AS,Asie
34,34,Afghanistan,admin,Nīlī,Afghanistan,AF,33.721777,66.130229,0.0,,14344,AS,Asie
40,40,Afghanistan,admin,Bāzārak,Afghanistan,AF,35.31292,69.51519,0.0,,16235,AS,Asie
