,admin,capital,city,country,iso2,lat,lng,population,population_proper
0,Japon,primary,Tokyo,Japan,JP,35.685,139.751389,35676000.0,8336599.0
1,Inde,admin,Mumbai,India,IN,18.987807,72.83644699999998,18978000.0,12691836.0
2,Inde,admin,Delhi,India,IN,28.651952,77.231495,15926000.0,7633213.0
3,Chine,admin,Shanghai,China,CN,31.222222,121.458056,14987000.0,14608512.0
4,Inde,admin,Kolkata,India,IN,22.562627,88.36304399999999,14787000.0,4631392.0
5,Pakistan,admin,Karachi,Pakistan,PK,24.9056,67.0822,12130000.0,11624219.0
6,Japon,admin,Ōsaka,Japan,JP,34.683333000000005,135.51666699999998,11294000.0,2592413.0
7,Chine,primary,Beijing,China,CN,39.928819,116.388869,11106000.0,7480601.0
8,Philippines,,Barilan,Philippines,PH,14.6333,121.0,11100000.0,3077575.0
9,Russie,primary,Moscow,Russia,RU,55.752222,37.615556,10452000.0,10452000.0
10,Turquie,admin,Istanbul,Turkey,TR,41.011046,28.957798,10061000.0,9945610.0
11,Corée du Sud,primary,Seoul,"Korea, South",KR,37.5985,126.9783,9796000.0,9796000.0
12,Indonésie,,Jakarta Pusat,Indonesia,ID,-6.1818,106.8223,9125000.0,8540121.0
13,Chine,admin,Guangzhou,China,CN,23.116667,113.25,8829000.0,3152825.0
14,Iran,primary,Tehran,Iran,IR,35.705,51.4216,7873000.0,7153309.0
15,Chine,minor,Shenzhen,China,CN,22.533333,114.133333,7581000.0,1002592.0
16,Chine,admin,Wuhan,China,CN,30.583333000000003,114.266667,7243000.0,4184206.0
17,Chine,admin,Tianjin,China,CN,39.142222,117.176667,7180000.0,3766207.0
18,Inde,admin,Chennai,India,IN,13.084622,80.248357,7163000.0,4328063.0
19,Taïwan,,Tanmei,Taiwan,TW,25.055738,121.581421,6900273.0,2618772.0
20,Inde,admin,Bengalūru,India,IN,12.977063,77.587106,6787000.0,5104047.0
21,Thaïlande,minor,Bang Rak,Thailand,TH,13.730579,100.523884,6704000.0,5104476.0
