,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
0,0,Albanie,primary,Tirana,Albania,AL,41.3275,19.818889,895350.0,421286.0,4480,EU,Europe
0,0,Azerbaïdjan,primary,Baku,Azerbaijan,AZ,40.39527800000001,49.882222,2122300.0,1892000.0,1550,EU,Europe
0,0,Autriche,primary,Vienna,Austria,AT,48.2,16.366667,2400000.0,1731000.0,1556,EU,Europe
0,0,Belgique,primary,Brussels,Belgium,BE,50.833333,4.3333330000000005,1743000.0,1019022.0,1496,EU,Europe
0,0,Bosnie-Herzégovine,primary,Sarajevo,Bosnia And Herzegovina,BA,43.85,18.383333,696731.0,628902.0,7699,EU,Europe
0,0,Bulgarie,primary,Sofia,Bulgaria,BG,42.68333300000001,23.316667,1185000.0,874827.0,5615,EU,Europe
0,0,Biélorussie,primary,Minsk,Belarus,BY,53.9,27.566667,1805000.0,1577138.0,4575,EU,Europe
0,0,Croatie,primary,Zagreb,Croatia,HR,45.8,16.0,722526.0,698966.0,1522,EU,Europe
0,0,Danemark,primary,Copenhagen,Denmark,DK,55.666667,12.583333,1085000.0,1085000.0,4800,EU,Europe
0,0,Finlande,primary,Helsinki,Finland,FI,60.17555600000001,24.934167,1115000.0,558457.0,2614,EU,Europe
0,0,France,primary,Paris,France,FR,48.866667,2.333333,9904000.0,11177.0,5758,EU,Europe
0,0,Allemagne,primary,Berlin,Germany,DE,52.51666700000001,13.4,3406000.0,3094014.0,5868,EU,Europe
0,0,Grèce,primary,Athens,Greece,GR,37.983333,23.733333,3242000.0,729137.0,5214,EU,Europe
0,0,Hongrie,primary,Budapest,Hungary,HU,47.5,19.083333,1679000.0,1679000.0,5111,EU,Europe
0,0,Irlande,primary,Dublin,Ireland,IE,53.333056000000006,-6.248889,1059000.0,968976.0,8329,EU,Europe
0,0,Italie,primary,Rome,Italy,IT,41.9,12.483333,3339000.0,35452.0,5382,EU,Europe
4,4,Kazakhstan,primary,Astana,Kazakhstan,KZ,51.166666,71.45,345604.0,325021.0,5437,EU,Europe
0,0,Lettonie,primary,Riga,Latvia,LV,56.95,24.1,742572.0,705033.0,7488,EU,Europe
0,0,Lituanie,primary,Vilnius,Lithuania,LT,54.683333,25.316667,542366.0,507029.0,7619,EU,Europe
0,0,Luxembourg,primary,Luxembourg,Luxembourg,LU,49.611667,6.13,107260.0,76684.0,7563,EU,Europe
0,0,Moldavie,primary,Chisinau,Moldova,MD,47.005556,28.8575,688134.0,635994.0,7156,EU,Europe
12,12,Monténégro,primary,Podgorica,Montenegro,ME,42.441111,19.263611,0.0,,7356,EU,Europe
0,0,Pays-Bas,primary,The Hague,Netherlands,NL,52.083333,4.3,1406000.0,501725.0,7342,EU,Europe
1,1,Pays-Bas,primary,Amsterdam,Netherlands,NL,52.35,4.916667,1031000.0,741636.0,7341,EU,Europe
0,0,Norvège,primary,Oslo,Norway,NO,59.916667,10.75,835000.0,580000.0,8163,EU,Europe
1,1,Pologne,primary,Warsaw,Poland,PL,52.25,21.0,1707000.0,1702139.0,6602,EU,Europe
0,0,Portugal,primary,Lisbon,Portugal,PT,38.716667,-9.133333,2812000.0,517802.0,6937,EU,Europe
0,0,Roumanie,primary,Bucharest,Romania,RO,44.43333300000001,26.1,1942000.0,1742194.0,6803,EU,Europe
0,0,Russie,primary,Moscow,Russia,RU,55.752222,37.615556,10452000.0,10452000.0,6913,EU,Europe
0,0,Serbie,primary,Belgrade,Serbia,RS,44.818611,20.468056,1099000.0,1099000.0,2006,EU,Europe
0,0,Slovaquie,primary,Bratislava,Slovakia,SK,48.15,17.116667,423737.0,373687.0,1761,EU,Europe
0,0,Slovénie,primary,Ljubljana,Slovenia,SI,46.055278,14.514444,314807.0,255115.0,1749,EU,Europe
0,0,Espagne,primary,Madrid,Spain,ES,40.41275200000001,-3.707721,5567000.0,50437.0,323,EU,Europe
0,0,Suède,primary,Stockholm,Sweden,SE,59.333333,18.05,1264000.0,1253309.0,543,EU,Europe
3,3,Suisse,primary,Bern,Switzerland,CH,46.916667,7.466667,275329.0,121631.0,198,EU,Europe
1,1,Turquie,primary,Ankara,Turkey,TR,39.911652,32.840305,3716000.0,3307379.0,922,EU,Europe
0,0,Ukraine,primary,Kiev,Ukraine,UA,50.43333300000001,30.516667,2709000.0,1662508.0,2810,EU,Europe
0,0,Royaume-Uni,primary,London,United Kingdom,GB,51.514248,-0.093145,8567000.0,7421209.0,2975,EU,Europe
