id,admin,capital,city_en,country,iso2,lat,lng,population,population_proper,city
3,Royaume-Uni,primary,London,United Kingdom,GB,51.514248,-0.093145,8567000.0,7421209.0,Londres
20,Royaume-Uni,admin,Birmingham,United Kingdom,GB,52.466667,-1.916667,2285000.0,984333.0,Birmingham
22,Royaume-Uni,admin,Manchester,United Kingdom,GB,53.5,-2.216667,2230000.0,395515.0,Manchester
32,Royaume-Uni,admin,Leeds,United Kingdom,GB,53.8,-1.583333,1529000.0,455123.0,Leeds
43,Royaume-Uni,admin,Sheffield,United Kingdom,GB,53.36666700000001,-1.5,1292900.0,552700.0,Sheffield
53,Royaume-Uni,admin,Glasgow,United Kingdom,GB,55.833333,-4.25,1160000.0,610268.0,Glasgow
82,Royaume-Uni,admin,Newcastle,United Kingdom,GB,54.98805600000001,-1.619444,882000.0,192382.0,Newcastle
92,Royaume-Uni,admin,Nottingham,United Kingdom,GB,52.966667,-1.166667,825600.0,305700.0,Nottingham
93,Royaume-Uni,admin,Liverpool,United Kingdom,GB,53.416667,-3.0,811000.0,468945.0,Liverpool
126,Royaume-Uni,admin,Southend-on-Sea,United Kingdom,GB,51.533333,0.7,618386.0,173600.0,Southend-on-Sea
138,Royaume-Uni,admin,Bristol,United Kingdom,GB,51.45,-2.583333,553528.0,430713.0,Bristol
147,Royaume-Uni,admin,Edinburgh,United Kingdom,GB,55.95,-3.2,504966.0,435791.0,Edimbourg
148,Royaume-Uni,,Brighton,United Kingdom,GB,50.833333,-0.15,503008.0,139001.0,Brighton
158,Royaume-Uni,admin,Leicester,United Kingdom,GB,52.63333299999999,-1.133333,457983.0,339239.0,Leicester
159,Royaume-Uni,admin,Sunderland,United Kingdom,GB,54.91194399999999,-1.383333,452934.0,177965.0,Sunderland
162,Royaume-Uni,,Belfast,United Kingdom,GB,54.6,-5.933333,450406.0,274770.0,Belfast
165,Royaume-Uni,admin,Portsmouth,United Kingdom,GB,50.766667,-1.083333,442252.0,205100.0,Portsmouth
181,Royaume-Uni,admin,Coventry,United Kingdom,GB,52.416667,-1.55,388271.0,308313.0,Coventry
182,Royaume-Uni,admin,Southampton,United Kingdom,GB,50.9,-1.4,384417.0,384417.0,Southampton
193,Royaume-Uni,admin,Reading,United Kingdom,GB,51.43333300000001,-1.0,369804.0,145700.0,Reading
16,Ukraine,primary,Kiev,Ukraine,UA,50.43333300000001,30.516667,2709000.0,1662508.0,Kiev
64,Ukraine,admin,Dnipro,Ukraine,UA,48.459298,35.038647999999995,1050000.0,848849.0,Dniepr
72,Ukraine,admin,Odesa,Ukraine,UA,46.463934,30.738551,991000.0,704001.0,Odessa
73,Ukraine,admin,Donets’k,Ukraine,UA,47.991664,37.775928,988000.0,760275.0,Donetsk
1,Turquie,admin,Istanbul,Turkey,TR,41.011046,28.957798,10061000.0,9945610.0,Istanbul
7,Turquie,primary,Ankara,Turkey,TR,39.911652,32.840305,3716000.0,3307379.0,Ankara
17,Turquie,admin,İzmir,Turkey,TR,38.412726,27.138376,2587000.0,2322818.0,İzmir
42,Turquie,admin,Adana,Turkey,TR,37.001667,35.32888900000001,1293000.0,1197890.0,Adana
66,Turquie,admin,Gaziantep,Turkey,TR,37.059444,37.3825,1044000.0,842524.0,Gaziantep
79,Turquie,admin,Konya,Turkey,TR,37.871354,32.484636,919000.0,518360.0,Konya
81,Turquie,minor,Tarsus,Turkey,TR,36.91766,34.892773,894318.0,238276.0,Tarse
98,Turquie,admin,Antalya,Turkey,TR,36.908118,30.695565,783000.0,623937.0,Antalya
101,Turquie,admin,Trabzon,Turkey,TR,41.005,39.726944,764714.0,230399.0,Trébizonde
48,Suisse,admin,Geneva,Switzerland,CH,46.195602,6.148113,1240000.0,192385.0,Genève
58,Suisse,admin,Zürich,Switzerland,CH,47.366667,8.55,1108000.0,341730.0,Zürich
89,Suisse,admin,Basel,Switzerland,CH,47.558395,7.573271000000001,830000.0,170635.0,Bâle
251,Suisse,primary,Bern,Switzerland,CH,46.916667,7.466667,275329.0,121631.0,Berne
257,Suisse,admin,Lausanne,Switzerland,CH,46.533333,6.666667,265702.0,116751.0,Lausanne
267,Suisse,admin,Lucerne,Switzerland,CH,47.083333,8.266667,250000.0,77491.0,Lucerne
390,Suisse,,Lugano,Switzerland,CH,46.009279,8.955575999999997,105388.0,26365.0,Lugano
47,Suède,primary,Stockholm,Sweden,SE,59.333333,18.05,1264000.0,1253309.0,Stockholm
142,Suède,,Glöstorp,Sweden,SE,57.75,11.933333,537797.0,504084.0,Glöstorp
255,Suède,admin,Malmö,Sweden,SE,55.6,13.0,269349.0,261548.0,Malmö
355,Suède,admin,Uppsala,Sweden,SE,59.85,17.633333,133117.0,127734.0,Uppsala
385,Suède,admin,Västerås,Sweden,SE,59.61666700000001,16.55,107194.0,93179.0,Västerås
4,Espagne,primary,Madrid,Spain,ES,40.41275200000001,-3.707721,5567000.0,50437.0,Madrid
5,Espagne,admin,Barcelona,Spain,ES,41.398371,2.1741,4920000.0,1581595.0,Barcelone
50,Espagne,admin,Sevilla,Spain,ES,37.382826,-5.973167,1212045.0,703021.0,Séville
83,Espagne,minor,Bilbao,Spain,ES,43.260919,-2.938764,875552.0,353187.0,Bilbao
94,Espagne,admin,Valencia,Spain,ES,39.466667,-0.366667,808000.0,805304.0,Valence
118,Espagne,admin,Zaragoza,Spain,ES,41.64531,-0.884861,649404.0,448507.0,Saragosse
139,Espagne,minor,Málaga,Spain,ES,36.726666,-4.434802,550058.0,528705.0,Málaga
175,Espagne,admin,Murcia,Spain,ES,37.987041,-1.130042,406807.0,329838.0,Murcie
180,Espagne,minor,Granada,Spain,ES,37.178354,-3.5992010000000003,388290.0,238248.0,Grenade
184,Espagne,,Vigo,Spain,ES,42.232823,-8.722636999999999,378952.0,292745.0,Vigo
188,Espagne,admin,Palma,Spain,ES,39.574337,2.655222,375773.0,264129.0,Palma de Majorque
215,Espagne,admin,Valladolid,Spain,ES,41.655181,-4.72372,322304.0,276443.0,Valladolid
216,Espagne,minor,Córdoba,Spain,ES,37.89155,-4.772748,321376.0,279648.0,Cordoue
