,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
0,0,Argentine,primary,Buenos Aires,Argentina,AR,-34.606389,-58.435278,12795000.0,10929146.0,594,SA,Amérique du Sud
1,1,Argentine,admin,Córdoba,Argentina,AR,-31.413496,-64.18105200000001,1452000.0,1296935.0,0,SA,Amérique du Sud
3,3,Argentine,admin,Mendoza,Argentina,AR,-32.890845,-68.82717099999999,893000.0,762630.0,1209,SA,Amérique du Sud
4,4,Argentine,admin,San Miguel de Tucumán,Argentina,AR,-26.824144,-65.2226,830000.0,527607.0,1060,SA,Amérique du Sud
5,5,Argentine,admin,La Plata,Argentina,AR,-34.921454,-57.954533,694253.0,186524.0,976,SA,Amérique du Sud
7,7,Argentine,admin,Salta,Argentina,AR,-24.785896,-65.411664,512686.0,456606.0,597,SA,Amérique du Sud
8,8,Argentine,admin,Santa Fe,Argentina,AR,-31.629484,-60.701036,489505.0,297503.0,598,SA,Amérique du Sud
9,9,Argentine,admin,San Juan,Argentina,AR,-31.5375,-68.536389,447048.0,420736.0,599,SA,Amérique du Sud
10,10,Argentine,admin,San Luis,Argentina,AR,-33.295012,-66.335627,432310.0,183982.0,600,SA,Amérique du Sud
11,11,Argentine,admin,Resistencia,Argentina,AR,-27.46056,-58.983886,387158.0,349753.0,601,SA,Amérique du Sud
12,12,Argentine,admin,Posadas,Argentina,AR,-27.367077,-55.896078,357119.0,312060.0,1061,SA,Amérique du Sud
13,13,Argentine,admin,Santiago del Estero,Argentina,AR,-27.795112,-64.261489,354692.0,280407.0,602,SA,Amérique du Sud
14,14,Argentine,admin,Corrientes,Argentina,AR,-27.480596,-58.834099,340823.0,339067.0,1330,SA,Amérique du Sud
15,15,Argentine,admin,San Salvador de Jujuy,Argentina,AR,-24.194565,-65.297116,305891.0,211587.0,603,SA,Amérique du Sud
17,17,Argentine,admin,Paraná,Argentina,AR,-31.731967,-60.523802,262295.0,191409.0,1062,SA,Amérique du Sud
18,18,Argentine,admin,Neuquén,Argentina,AR,-38.951606,-68.059102,242092.0,185555.0,604,SA,Amérique du Sud
19,19,Argentine,admin,Formosa,Argentina,AR,-26.177534,-58.178139,221383.0,183161.0,528,SA,Amérique du Sud
20,20,Argentine,admin,La Rioja,Argentina,AR,-29.411048,-66.850668,162620.0,131640.0,1331,SA,Amérique du Sud
25,25,Argentine,admin,Santa Rosa,Argentina,AR,-36.616667,-64.283333,111424.0,83963.0,606,SA,Amérique du Sud
36,36,Argentine,admin,Río Gallegos,Argentina,AR,-51.622613,-69.218127,85700.0,68666.0,612,SA,Amérique du Sud
52,52,Argentine,admin,Viedma,Argentina,AR,-40.81345200000001,-62.996676,59122.0,48940.0,621,SA,Amérique du Sud
55,55,Argentine,admin,Ushuaia,Argentina,AR,-54.8,-68.3,58028.0,42939.0,4,SA,Amérique du Sud
77,77,Argentine,admin,Rawson,Argentina,AR,-43.300158,-65.10228000000001,26335.0,23790.0,633,SA,Amérique du Sud
345,345,Argentine,admin,San Fernando del Valle de Catamarca,Argentina,AR,-28.469574,-65.785239,0.0,,35,SA,Amérique du Sud
1,1,Bolivie,primary,La Paz,Bolivia,BO,-16.5,-68.15,1590000.0,812799.0,854,SA,Amérique du Sud
2,2,Bolivie,admin,Cochabamba,Bolivia,BO,-17.389498,-66.156797,1000000.0,608276.0,1009,SA,Amérique du Sud
3,3,Bolivie,admin,Oruro,Bolivia,BO,-17.983333,-67.15,246501.0,208684.0,855,SA,Amérique du Sud
5,5,Bolivie,primary,Sucre,Bolivia,BO,-19.047646,-65.259058,224838.0,221736.0,1148,SA,Amérique du Sud
6,6,Bolivie,admin,Potosí,Bolivia,BO,-19.583611,-65.753056,179901.0,141251.0,856,SA,Amérique du Sud
7,7,Bolivie,admin,Tarija,Bolivia,BO,-21.525701,-64.728052,159269.0,151757.0,539,SA,Amérique du Sud
9,9,Bolivie,admin,Trinidad,Bolivia,BO,-14.833332999999998,-64.9,84259.0,54408.0,857,SA,Amérique du Sud
11,11,Bolivie,admin,Cobija,Bolivia,BO,-11.018556,-68.757015,44437.0,26585.0,858,SA,Amérique du Sud
65,65,Bolivie,admin,Santa Cruz de la Sierra,Bolivia,BO,-17.8,-63.166667,0.0,,69,SA,Amérique du Sud
0,0,Brésil,admin,São Paulo,Brazil,BR,-23.573252,-46.641681,18845000.0,10021295.0,892,SA,Amérique du Sud
1,1,Brésil,admin,Rio de Janeiro,Brazil,BR,-22.875113,-43.277548,11748000.0,2010175.0,1370,SA,Amérique du Sud
2,2,Brésil,admin,Belo Horizonte,Brazil,BR,-19.901739000000006,-43.964196,5575000.0,2373224.0,893,SA,Amérique du Sud
3,3,Brésil,admin,Porto Alegre,Brazil,BR,-30.033333,-51.2,3917000.0,1372741.0,894,SA,Amérique du Sud
4,4,Brésil,primary,Brasília,Brazil,BR,-15.783333,-47.916667,3716996.0,2562963.0,543,SA,Amérique du Sud
5,5,Brésil,admin,Recife,Brazil,BR,-8.05,-34.9,3651000.0,1478098.0,70,SA,Amérique du Sud
